DOM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
49001;Head of State;拉菲尔 特鲁西略 ;36;PA;Barking Buffoon;High;M49001;x
49002;Head of Government;雅辛托 比恩韦尼多 佩纳多 ;36;PA;Naive Optimist;High;M49002;x
49003;Foreign Minister;伊莱亚斯 布拉赫 ;36;PA;Great Compromiser;Medium;M49003;x
49004;Minister of Armament;曼努埃尔 德 热苏斯 特龙科索 ;36;PA;Infantry Proponent;Medium;M49004;x
49005;Minister of Security;拉菲尔 特鲁西略 ;36;PA;Prince of Terror;Low;M49001;x
49006;Head of Military Intelligence;赫苏斯 达 科斯塔 鲁伊斯 ;36;PA;Technical Specialist;Medium;M49006;x
49007;Chief of Staff;拉菲尔 特鲁西略 ;36;PA;School of Defence;Low;M49001;x
49008;Chief of Army;拉菲尔 特鲁西略 ;36;PA;Static Defence Doctrine;Low;M49008;x
49009;Chief of Navy;温贝托 罗雅斯 ;36;PA;Indirect Approach Doctrine;Medium;M49009;x
49010;Chief of Air Force;阿尼巴尔 巴列霍 索萨 ;36;PA;Air Superiority Doctrine;Low;M49010;x
49031;Head of State;雅辛托 比恩韦尼多 佩纳多 ;38;PA;Insignificant Layman;High;M49002;x
49032;Head of State;曼努埃尔 德 热苏斯 特龙科索 ;40;PA;Benevolent Gentleman;High;M49004;x
49034;Head of State;伊莱亚斯 布拉赫 ;38;SC;Weary Stiffneck;High;M49003;x
49035;Head of State;拉斐尔 埃斯派利亚特 ;46;SC;Popular Figurehead;High;M49035;x
49036;Head of State;弗兰克 费利斯 米兰达 ;38;LWR;Popular Figurehead;High;M49030;x
49037;Head of State;弗朗西斯科 普拉茨 拉米雷斯 ;42;LWR;Autocratic Charmer;High;M49037;x
49038;Head of Government;曼努埃尔 德 热苏斯 特龙科索 ;38;PA;Silent Workhorse;High;M49004;x
49039;Head of Government;拉菲尔 特鲁西略 ;40;PA;Backroom Backstabber;High;M49001;x
49040;Head of Government;阿尔贝托 加西亚 别恩达 ;38;SC;Happy Amateur;High;M49015;x
49041;Head of Government;拉斐尔 埃斯派利亚特 ;42;SC;Political Protege;High;M49035;x
49042;Head of Government;拉斐尔 博内利 丰德尔 ;46;SC;Smiling Oilman;High;M49042;x
49043;Head of Government;弗朗西斯科 普拉茨 拉米雷斯 ;38;LWR;Happy Amateur;High;M49037;x
49044;Head of Government;马里奥 英伯特 麦格雷戈 ;42;SD;Corporate Suit;High;M49026;x
49045;Head of Government;胡安 博施 ;46;SD;Old General;High;M49021;x
49046;Foreign Minister;埃内斯托 博内蒂-布尔戈斯 ;36;PA;Apologetic Clerk;Medium;M49046;x
49047;Foreign Minister;朱利奥 奥尔特加 弗里耶 ;37;PA;The Cloak N Dagger Schemer;Medium;M49047;x
49048;Foreign Minister;阿图罗 德斯普拉德尔 ;38;PA;Great Compromiser;Very High;M49048;x
49049;Foreign Minister;曼努埃尔 培尼亚 巴特尔 ;43;PA;General Staffer;Very High;M49049;x
49051;Foreign Minister;赫苏斯 德 加林德斯 ;42;SC;Ideological Crusader;Medium;M49013;x
49052;Foreign Minister;埃米利奥 德 洛斯 桑托斯 ;46;SC;Iron Fisted Brute;Medium;M49052;x
49053;Foreign Minister;安东尼奥 莱瓦 波乌 ;38;LWR;Ideological Crusader;Medium;M49025;x
49054;Foreign Minister;胡安 博施 ;46;SD;Iron Fisted Brute;Low;M49021;x
49056;Minister of Armament;伊格纳西奥 巴约多 ;40;PA;Administrative Genius;High;M49056;x
49057;Minister of Armament;拉菲尔 特鲁西略 ;42;PA;Corrupt Kleptocrat;Very High;M49001;x
49058;Minister of Armament;路易斯 阿米亚莫 蒂奥 ;46;PA;Corrupt Kleptocrat;Low;M49058;x
49059;Minister of Armament;赫苏斯 德 加林德斯 ;38;SC;Laissez Faires Capitalist;Medium;M49013;x
49060;Minister of Armament;拉斐尔 博内利 丰德尔 ;42;SC;Infantry Proponent;Medium;M49042;x
49061;Minister of Armament;乔治 巴拉格尔 ;46;SC;Administrative Genius;Low;M49014;x
49062;Minister of Armament;弗朗西斯科 库特里科斯 ;38;SD;Corrupt Kleptocrat;Low;M49024;x
49063;Minister of Armament;马里奥 英伯特 麦格雷戈 ;46;SD;Resource Industrialist;Medium;M49026;x
49064;Minister of Security;雅辛托 比恩韦尼多 佩纳多 ;38;PA;Crooked Kleptocrat;High;M49002;x
49066;Minister of Security;唐纳德 赖德 卡布拉尔 ;44;PA;Compassionate Gentleman;Low;M49066;x
49067;Minister of Security;赫克托 特鲁西略 ;46;PA;Crooked Kleptocrat;High;M49067;x
49068;Minister of Security;拉斐尔 埃斯派利亚特 ;38;SC;Efficient Sociopath;Medium;M49035;x
49069;Minister of Security;阿尔贝托 加西亚 别恩达 ;42;SC;Silent Lawyer;Medium;M49015;x
49071;Minister of Security;安东尼奥 莱瓦 波乌 ;38;LWR;Man of the People;Medium;M49025;x
49073;Head of Military Intelligence;曼努埃尔 德 热苏斯 特龙科索 ;40;PA;Naval Intelligence Specialist;Medium;M49004;x
49074;Head of Military Intelligence;乔治 巴拉格尔 ;42;PA;Logistics Specialist;Medium;M49014;x
49075;Head of Military Intelligence;赫克托 特鲁西略 ;46;PA;Political Specialist;High;M49067;x
49076;Head of Military Intelligence;阿尔贝托 加西亚 别恩达 ;38;SC;Logistics Specialist;Low;M49015;x
49077;Head of Military Intelligence;弗朗西斯科 普拉茨 拉米雷斯 ;38;LWR;Industrial Specialist;High;M49037;x
49078;Head of Military Intelligence;马里奥 英伯特 麦格雷戈 ;46;SD;Dismal Enigma;Medium;M49026;x
49080;Chief of Staff;曼努埃尔 培尼亚 巴特尔 ;46;PA;School of Defence;Very High;M49049;x
49081;Chief of Staff;赫苏斯 达 科斯塔-鲁伊斯 ;38;SC;School of Mass Combat;Medium;M49006;x
49082;Chief of Staff;维克托 比尼亚斯 罗曼 ;38;SD;School of Fire Support;Medium;M49027;x
49084;Chief of Army;多明戈 德 洛斯 桑托斯 奥尔蒂斯 ;38;SC;Armoured Spearhead Doctrine;Low;M49018;x
49085;Chief of Army;维克托 比尼亚斯 罗曼 ;38;SD;Decisive Battle Doctrine;Medium;M49027;x
49087;Chief of Navy;奥诺拉西奥 尤纳 罗布尔斯 ;40;PA;Open Seas Doctrine;High;M49087;x
49088;Chief of Navy;拉菲尔 特鲁西略 ;42;PA;Base Control Doctrine;Very High;M49088;x
49090;Chief of Navy;埃德加 马丁内斯 ;38;LWR;Indirect Approach Doctrine;Very Low;M49029;x
49092;Chief of Air Force;朱利奥 奥尔特加 弗里耶 ;42;PA;Army Aviation Doctrine;Medium;M49047;x
49094;Chief of Air Force;迭戈 特拉瓦霍 鲁伊斯 ;42;SC;Carpet Bombing Doctrine;High;M49094;x
49095;Chief of Air Force;弗兰克 费利斯 米兰达 ;36;LWR;Naval Aviation Doctrine;Medium;M49030;x
49096;Head of State;拉菲尔 特鲁西略 ;42;PA;Barking Buffoon;High;M49001;x
49097;Chief of Air Force;埃德加 马丁内斯 ;41;LWR;Air Superiority Doctrine;High;M49029;x
49021;Head of State;胡安 博施 ;36;LWR;Die-hard Reformer;High;M49021;x
49022;Head of Government;赫苏斯 德 加林德斯 ;36;LWR;Flamboyant Tough Guy;High;M49013;x
49098;Head of State;赫克托 特鲁西略 ;52;PA;Insignificant Layman;High;M49067;x
