LIB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
69001;Head of State;埃德温 J 巴克利 ;36;SC;Barking Buffoon;High;M69001;x
69002;Head of Government;埃德温 J 巴克利 ;36;SC;Happy Amateur;High;M69001;x
69003;Foreign Minister;克拉伦斯 L 辛普森 ;36;SC;Ideological Crusader;Medium;M69003;x
69004;Minister of Armament;弗雷德里克 K 尼尔森 ;36;SC;Infantry Proponent;Medium;M69004;x
69005;Minister of Security;亨利 R 格里梅斯 ;36;SC;Crooked Kleptocrat;Medium;M69005;x
69006;Head of Military Intelligence;亨利 M 鲁滨逊 ;36;SC;Industrial Specialist;Medium;M69006;x
69007;Chief of Staff;本杰明 奥戴维斯 ;36;SC;School of Mass Combat;Medium;M69007;x
69008;Chief of Army;艾弗 维尔京 ;36;SC;Guns and Butter Doctrine;Medium;M69008;x
69009;Chief of Navy;雷吉纳尔德 布兰登 ;36;SC;Open Seas Doctrine;Medium;M69009;x
69010;Chief of Air Force;文 洛伊 尚 ;36;SC;Air Superiority Doctrine;Medium;M69010;x
69032;Head of State;威廉 S 塔布曼 ;44;SC;Ruthless Powermonger;High;M69032;x
69033;Head of State;阿尔伯特 波特 ;36;SL;Benevolent Gentleman;High;M69033;x
69034;Head of State;亚瑟 斯威策 ;44;SL;Insignificant Layman;High;M69034;x
69036;Head of Government;威廉 S 塔布曼 ;44;SC;Silent Workhorse;High;M69032;x
69037;Head of Government;阿尔伯特 波特 ;36;SL;Ambitious Union Boss;High;M69033;x
69038;Head of Government;亚瑟 斯威策 ;44;SL;Corporate Suit;High;M69034;x
69040;Foreign Minister;加布里埃尔 L 丹尼斯 ;44;SC;Iron Fisted Brute;Medium;M69040;x
69041;Foreign Minister;阿尔伯特 波特 ;36;SL;Great Compromiser;Medium;M69033;x
69042;Foreign Minister;马克 德希尔德 ;44;SL;General Staffer;Medium;M69042;x
69043;Foreign Minister;亨利 R 格里梅斯 ;46;SL;Biased Intellectual;Medium;M69005;x
69045;Minister of Armament;威廉 S 塔布曼 ;40;SC;Corrupt Kleptocrat;Medium;M69032;x
69046;Minister of Armament;科尔内留斯 范 乌德卡尔斯佩尔 ;42;SC;Administrative Genius;Medium;M69046;x
69047;Minister of Armament;莫莫洛 杜胡蒂 ;44;SC;Laissez Faires Capitalist;Medium;M69047;x
69048;Minister of Armament;马克 德希尔德 ;36;SL;Corrupt Kleptocrat;Medium;M69042;x
69049;Minister of Armament;亚瑟 斯威策 ;40;SL;Tank Proponent;Medium;M69034;x
69050;Minister of Armament;亨利 M 鲁滨逊 ;44;SL;Air to Sea Proponent;Medium;M69006;x
69052;Minister of Security;弗雷图斯 阿弗里卡努斯 鲁塞尔 ;37;SC;Efficient Sociopath;Medium;M69052;x
69053;Minister of Security;凯 皮特曼 ;38;SC;Silent Lawyer;Medium;M69053;x
69054;Minister of Security;本杰明 B 华莱士 ;40;SC;Man of the People;Medium;M69054;x
69055;Minister of Security;埃德温 J 巴克利 ;41;SC;Back Stabber;Medium;M69001;x
69056;Minister of Security;拉尔夫 W 莫里松 ;44;SC;Crime Fighter;Medium;M69056;x
69057;Minister of Security;科尔内留斯 范 乌德卡尔斯佩尔 ;46;SC;Compassionate Gentleman;Medium;M69046;x
69058;Minister of Security;凯 皮特曼 ;36;SL;Silent Lawyer;Medium;M69053;x
69059;Minister of Security;埃利奥特 瑟斯顿 ;40;SL;Man of the People;Medium;M69059;x
69060;Minister of Security;弗雷图斯 阿弗里卡努斯 鲁塞尔 ;44;SL;Efficient Sociopath;Medium;M69052;x
69062;Head of Military Intelligence;埃利奥特 瑟斯顿 ;40;SC;Political Specialist;Medium;M69059;x
69063;Head of Military Intelligence;本杰明 奥戴维斯 ;42;SC;Logistics Specialist;Medium;M69007;x
69064;Head of Military Intelligence;威廉 托尔伯特 ;46;SC;Technical Specialist;Medium;M69064;x
69065;Head of Military Intelligence;科尔内留斯 范 乌德卡尔斯佩尔 ;36;SL;Dismal Enigma;Medium;M69046;x
69066;Head of Military Intelligence;本杰明 奥戴维斯 ;42;SL;Logistics Specialist;Medium;M69007;x
69067;Head of Military Intelligence;弗雷德里克 E 墨菲 ;46;SL;Technical Specialist;Medium;M69067;x
69071;Chief of Army;本杰明 奥戴维斯 ;42;SC;Armoured Spearhead Doctrine;Medium;M69007;x
69072;Chief of Army;约翰 R 福克斯 ;36;SL;Elastic Defence Doctrine;Medium;M69072;x
