SIE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
554001;Head of State;亨利 蒙克-梅森 穆尔爵士 ;36;SC;Ruthless Powermonger;High;M550004;x
554002;Head of Government;道格拉斯 亚尔迪内 爵士 ;36;SC;Backroom Backstabber;High;M554002;x
554003;Foreign Minister;胡贝特 科拉多克 史蒂文森 爵士 ;36;SC;Great Compromiser;High;M554003;x
554004;Minister of Armament;詹姆斯 阿尔伯特 哈尔 ;36;SC;Air Superiority Proponent;Medium;M554004;x
554005;Minister of Security;约翰 赫伯特 邓肯 ;36;SC;Man of the People;Medium;M554005;x
554006;Head of Military Intelligence;肯尼思 麦克墨菲-米尔斯 ;36;SC;Technical Specialist;Medium;M554006;x
554007;Chief of Staff;约翰 P 穆斯黑德 ;36;SC;School of Manoeuvre;Medium;M554007;x
554008;Chief of Army;罗伯特 理查森 ;36;SC;Armoured Spearhead Doctrine;Medium;M554008;x
554009;Chief of Navy;弗兰克 戈默索尔 ;36;SC;Open Seas Doctrine;Medium;M554009;x
554010;Chief of Air Force;弗雷德里克 史蒂文森 ;36;SC;Naval Aviation Doctrine;Medium;M554010;x
554011;Head of State;米尔顿 马尔盖爵士 ;36;SD;Weary Stiffneck;High;M554011;x
554012;Head of Government;阿尔伯特 马尔盖爵士 ;36;SD;Political Protege;High;M554012;x
554013;Foreign Minister;欧斯塔塞 泰勒 卡明斯 ;36;SD;Ideological Crusader;High;M554013;x
554014;Minister of Armament;班贾 泰扬-西埃爵士 ;41;SC;Resource Industrialist;Medium;M554014;x
554015;Minister of Armament;拉米纳 桑科 ;36;SD;Military Entrepreneur;Medium;M554015;x
554016;Minister of Security;约翰 卡雷法 斯马特 ;36;SD;Crime Fighter;Medium;M554016;x
554017;Head of Military Intelligence;坎德 布雷赫 ;36;SD;Logistics Specialist;Medium;M554017;x
554018;Head of Military Intelligence;穆罕默德 萨努西 穆斯塔法 ;41;SD;Industrial Specialist;Medium;M554018;x
554019;Chief of Staff;拉菲吉 马纳雷赫 ;36;SD;School of Fire Support;Medium;M554019;x
554020;Chief of Army;萨纳克 斯蒂芬斯 ;36;SD;Guns and Butter Doctrine;Medium;M554020;x
554021;Chief of Navy;阿马杜 武里埃 ;36;SD;Base Control Doctrine;Medium;M554021;x
554022;Chief of Air Force;埃拉 科布洛 吴拉马 ;36;SD;Army Aviation Doctrine;Medium;M554022;x
