U98;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
900800;Head of State;阿瑟·弗莱彻爵士;36;ML;Insignificant Layman;Very High;tobago1;x
900801;Head of Government;阿尔伯特·戈麦斯;36;SL;Happy Amateur;Very High;tobago2;x
900802;Foreign Minister;莫里斯·亨利·多尔曼;36;ML;Apologetic Clerk;Very High;tobago3;x
900803;Minister of Armament;阿瑟·弗莱彻爵士;36;SL;Theoretical Scientist;Very High;tobago1;x
900804;Head of State;休伯特·温斯洛普爵士;36;SC;Resigned Generalissimo;Very High;unknown;x
900805;Head of Government;乌利亚·巴特勒;36;LWR;Ambitious Union Boss;Very High;tobago4;x
900806;Head of State;C. L. R.詹姆斯;36;LE;Die-hard Reformer;Very High;tobago5;x
900807;Head of Government;C. L. R.詹姆斯;36;LE;Backroom Backstabber;Very High;tobago5;x
900808;Foreign Minister;乔治·帕德莫尔;36;LE;Iron Fisted Brute;Very High;tobago6;x
900809;Minister of Armament;图巴·巴特勒·乌利亚 ;36;LWR;Administrative Genius;Very High;tobago4;x
900810;Minister of Security;C. L. R.詹姆斯 ;36;LE;Man of the People;Very High;tobago5;x
900811;Head of Military Intelligence;亚瑟·安德鲁·亚尼 ;36;SD;Logistics Specialist;Very High;tobago7;x
900812;Chief of Staff;亚瑟·安德鲁·亚尼 ;36;SD;School of Mass Combat;Very High;tobago7;x
900813;Chief of Army;亚瑟·安德鲁·亚尼 ;36;SD;Elastic Defence Doctrine;Very High;tobago7;x
900814;Chief of Navy;亚瑟·安德鲁·亚尼 ;36;SD;Base Control Doctrine;Very High;tobago7;x
900815;Chief of Air Force;休伯特·朱利安 ;36;SD;Air Superiority Doctrine;Very High;unknown;x
900816;Minister of Security;诺尔·哈桑纳利;47;SL;Silent Lawyer;Very High;unknown;x
900817;Minister of Security;帕特里克·所罗门 ;45;ML;Compassionate Gentleman;Very High;unknown;x
900818;Head of Government;埃里克·威廉姆斯 ;44;SD;Happy Amateur;Very High;unknown;x
