U87;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
800700;Head of State;汪精卫 ;39;NS;Ruthless Powermonger;Very High;M52011;x
800701;Head of State;陈公博 ;40;FA;Pig-headed Isolationist;Very High;M52014;x
800702;Head of State;梁宏志;36;FA;Pig-headed Isolationist;Very High;M52012;x
800703;Head of Government;陈公博 ;40;FA;Silent Workhorse;Very High;M52014;x
800704;Head of Government;汪精卫 ;39;NS;Backroom Backstabber;Very High;M52011;x
800705;Head of Government;梁宏志;36;FA;Happy Amateur;Very High;M52012;x
800706;Head of Government;周佛海;36;NS;Political Protege;Very High;northchina3;x
800707;Foreign Minister;周佛海;36;NS;Iron Fisted Brute;Very High;northchina3;x
800708;Foreign Minister;褚民谊;36;PA;Ideological Crusader;Very High;M_87_ChuMinyi;x
800709;Minister of Armament;鲍文樾 ;36;FA;Infantry Proponent;Very High;M52018;x
800710;Minister of Armament;陈公博 ;40;FA;Laissez Faires Capitalist;Very High;M52014;x
800711;Minister of Armament;付晓安;36;PA;Resource Industrialist;Very High;M_U74_FuXiaoan;x
800712;Minister of Armament;周佛海;36;NS;Military Entrepreneur;Very High;northchina3;x
800713;Minister of Armament;陶亮;36;PA;Resource Industrialist;Very High;unknown;x
800714;Minister of Security;周佛海;36;FA;Efficient Sociopath;Very High;northchina3;x
800715;Head of Military Intelligence;李士群 ;36;PA;Dismal Enigma;Very High;unknown;x
800716;Chief of Staff;铃木贞一;36;FA;School of Psychology;Very High;nanjing1;x
800717;Chief of Staff;梁宏志;36;FA;School of Fire Support;Very High;M52012;x
800718;Chief of Staff;萧疏轩;39;NS;School of Defence;Very High;unknown;x
800719;Chief of Staff;多田骏;36;FA;School of Manoeuvre;Very High;nanjing2;x
800720;Chief of Staff;杨葵依;39;FA;School of Manoeuvre;Very High;unknown;x
800721;Chief of Army;王颖;36;PA;Elastic Defence Doctrine;Very High;unknown;x
800722;Chief of Army;鲍文樾 ;36;FA;Static Defence Doctrine;Very High;M52018;x
800723;Chief of Army;周佛海;36;FA;Guns and Butter Doctrine;Very High;northchina3;x
800724;Chief of Navy;任援道 ;36;FA;Decisive Naval Battle Doctrine;Very High;M_87_RenYuandao;x
800725;Chief of Air Force;陈昌祖 ;36;FA;Army Aviation Doctrine;Very High;M52020;x
800726;Chief of Army;梁宏志;36;NS;Decisive Battle Doctrine;Very High;M52012;x
800727;Chief of Navy;龚贤枝;36;FA;Open Seas Doctrine;Very High;unknown;x
800728;Chief of Navy;沈鸿烈;36;NS;Decisive Naval Battle Doctrine;Very High;unknown;x
800729;Chief of Air Force;多田骏;36;NS;Army Aviation Doctrine;Very High;northchina2;x
800730;Foreign Minister;汪精卫 ;39;FA;Biased Intellectual;Medium;M52041;x
800731;Foreign Minister;杨露蝉 ;44;FA;Great Compromiser;Medium;M52043;x
800732;Minister of Security;陈发科 ;44;FA;Efficient Sociopath;Medium;M52077;x
800733;Head of Military Intelligence;晁公;37;FA;Political Specialist;Medium;M_U74_ChaoKung;x
800734;Minister of Armament;陈策 ;43;FA;Submarine Proponent;High;M52061;x
800735;Minister of Armament;杨露蝉 ;41;FA;Resource Industrialist;Medium;M52043;x
800736;Minister of Armament;陈公博 ;39;FA;Laissez Faires Capitalist;Medium;M52014;x
800737;Head of Military Intelligence;晁公;37;FA;Political Specialist;Medium;M_U74_ChaoKung;x
800738;Chief of Army;鲍文樾 ;41;FA;Static Defence Doctrine;Low;M52018;x
800739;Chief of Staff;齐燮元 ;41;FA;School of Fire Support;Low;M52017;x
800740;Minister of Security;丁默村 ;40;FA;Crooked Kleptocrat;Medium;M52015;x
800741;Minister of Security;陈翰笙 ;43;FA;Prince of Terror;High;M52076;x
800742;Foreign Minister;阿部 信行 ;42;PA;General Staffer;Medium;M_U74_AbeNobuyuki;x
800743;Head of Government;陈公博 ;40;LWR;Ambitious Union Boss;High;M_U74_ChenGongbo;x
800744;Head of State;陈公博 ;40;LWR;Benevolent Gentleman;High;M_U74_ChenGongbo;x
800745;Chief of Staff;阿部 信行 ;39;PA;School of Defence;Medium;M_U74_AbeNobuyuki;x
800746;Chief of Army;阿部 信行 ;40;PA;Elastic Defence Doctrine;Medium;M_U74_AbeNobuyuki;x
