TEX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
571001;Head of State;詹姆斯 布尔 V 奥尔雷德 ;36;PA;Ruthless Powermonger;High;M571001;x
571002;Head of Government;威廉 李 奥丹尼尔 ;36;PA;Political Protege;High;M571002;x
571003;Foreign Minister;J T 伦弗鲁 ;36;PA;The Cloak N Dagger Schemer;High;M571003;x
571004;Minister of Armament;杰西 H 琼斯 ;36;PA;Resource Industrialist;Medium;M571004;x
571005;Minister of Security;奥斯卡 F 霍尔库姆 ;36;PA;Man of the People;Medium;M571005;x
571006;Head of Military Intelligence;奥蒂斯 马西 ;36;PA;Dismal Enigma;Medium;M571006;x
571007;Chief of Staff;小哈里 诺克斯 ;36;PA;School of Fire Support;Medium;M571007;x
571008;Chief of Army;约翰 B 里基茨 ;36;PA;Decisive Battle Doctrine;Medium;M571008;x
571009;Chief of Navy;李 休 波拉德三世 ;36;PA;Open Seas Doctrine;Medium;M571009;x
571010;Chief of Air Force;多纳尔 W 阿明顿 ;36;PA;Carpet Bombing Doctrine;Medium;M571010;x
571011;Foreign Minister;李 O 威拉德 ;41;PA;General Staffer;High;M571011;x
571012;Foreign Minister;科克 R 史蒂文森 ;43;PA;Iron Fisted Brute;High;M571012;x
571013;Minister of Armament;罗伯特 L 迪拉德 ;39;PA;Theoretical Scientist;Medium;M571013;x
571014;Minister of Armament;亚瑟 坦尼 埃默森 ;43;PA;Battle Fleet Proponent;Medium;M571014;x
571015;Minister of Armament;罗伊 霍夫海因茨 ;44;PA;Administrative Genius;Medium;M571015;x
571016;Minister of Armament;约翰 E 安德森 ;46;PA;Military Entrepreneur;Medium;M571016;x
571017;Minister of Security;科尔内留斯 皮克特 ;37;PA;Efficient Sociopath;Medium;M571017;x
571018;Minister of Security;伍德尔 罗杰斯 ;44;PA;Compassionate Gentleman;Medium;M571018;x
571019;Minister of Security;迈克尔 奥尔德雷奇 哈伦 ;45;PA;Crime Fighter;Medium;M571019;x
571020;Minister of Security;乔治 萨金特 ;46;PA;Prince of Terror;Medium;M571020;x
571021;Head of Military Intelligence;小萨姆 J 欧文 ;42;PA;Political Specialist;Medium;M571021;x
571022;Head of Military Intelligence;罗伯特 厄尔 谢尔曼 ;45;PA;Industrial Specialist;Medium;M571022;x
571023;Chief of Staff;拉里 K 阿诺德 ;42;PA;School of Manoeuvre;Medium;M571023;x
571024;Chief of Staff;李 O 威拉德 ;44;PA;School of Psychology;Medium;M571011;x
571025;Chief of Army;R J 施托克曼 ;39;PA;Static Defence Doctrine;Medium;M571025;x
571026;Chief of Army;迈伦 G 阿什克罗夫特 ;43;PA;Armoured Spearhead Doctrine;Medium;M571026;x
571027;Chief of Navy;菲利普 R 布什 ;41;PA;Indirect Approach Doctrine;Medium;M571027;x
571028;Chief of Air Force;理查德 C 柯林斯 ;43;PA;Army Aviation Doctrine;Medium;M571028;x
571029;Chief of Staff;埃德温 A. 瓦克尔;41;FA;School of Psychology;High;M_TEX_EdwinnAWalker;x
571030;Chief of Army;埃德温 A. 瓦克尔;45;FA;Guns and Butter Doctrine;High;M_TEX_EdwinnAWalker;x
571031;Chief of Staff;奥迪 里昂 墨菲;50;ML;School of Manoeuvre;Very high;M_TEX_AudieLeonMurphy;x
571032;Minister of Armament;道格拉斯 科里根;40;SL;Air to Ground Proponent;High;M_TEX_DouglasCorrigan;x
571033;Chief of Air Force;道格拉斯 科里根;39;SL;Army Aviation Doctrine;High;M_TEX_DouglasCorrigan;x
571134;Chief of Staff;詹姆斯伯爵 鲁德尔;41;ML;School of Mass Combat;High;M_TEX_JamesERudder;x
571135;Chief of Army;詹姆斯伯爵 鲁德尔;45;ML;Elastic Defence Doctrine;High;M_TEX_JamesERudder;x
571136;Foreign Minister;詹姆斯伯爵 鲁德尔;48;ML;General Staffer;High;M_TEX_JamesERudder;x
