U74;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
700400;Head of State;王克敏 ;36;FA;Barking Buffoon;Very High;M52012;x
700401;Head of Government;王克敏 ;36;FA;Backroom Backstabber;Very High;M52012;x
700402;Head of Government;梁宏志;36;NS;Flamboyant Tough Guy;Very High;M_U74_LiangHongzhi;x
700403;Foreign Minister;周佛海;36;FA;The Cloak N Dagger Schemer;Very High;northchina3;x
700404;Foreign Minister;本田熊光;36;NS;Ideological Crusader;Very High;M_U74_kumataroH;x
700405;Minister of Armament;贺屋兴宣;36;FA;Resource Industrialist;Very High;northchina4;x
700406;Minister of Armament;周佛海;36;FA;Military Entrepreneur;Very High;northchina3;x
700407;Minister of Armament;付晓安;36;PA;Resource Industrialist;Very High;M_U74_FuXiaoan;x
700408;Minister of Armament;陶亮;36;NS;Resource Industrialist;Very High;northchina1;x
700409;Minister of Security;王克敏 ;36;FA;Man of the People;Very High;M52012;x
700410;Minister of Security;冈村宁次;40;PA;Efficient Sociopath;Very High;northchina5;x
700411;Minister of Security;张松林;36;NS;Crime Fighter;Very High;unknown;x
700412;Head of Military Intelligence;冈村宁次;40;PA;Logistics Specialist;Very High;northchina5;x
700413;Head of Military Intelligence;张松林;36;NS;Dismal Enigma;Very High;unknown;x
700414;Chief of Staff;梁宏志;36;NS;School of Fire Support;Very High;M_U74_LiangHongzhi;x
700415;Chief of Staff;多田骏;36;NS;School of Manoeuvre;Very High;northchina2;x
700416;Chief of Staff;铃木贞一;36;PA;School of Psychology;Very High;northchina6;x
700417;Chief of Army;周佛海;36;FA;Guns and Butter Doctrine;Very High;northchina3;x
700418;Chief of Army;冈村宁次;40;PA;Decisive Battle Doctrine;Very High;northchina5;x
700419;Chief of Army;梁宏志;36;NS;Decisive Battle Doctrine;Very High;M_U74_LiangHongzhi;x
700420;Chief of Navy;龚贤枝;36;FA;Open Seas Doctrine;Very High;unknown;x
700421;Chief of Navy;沈鸿烈;36;NS;Decisive Naval Battle Doctrine;Very High;unknown;x
700422;Chief of Air Force;多田骏;36;NS;Army Aviation Doctrine;Very High;northchina2;x
700423;Foreign Minister;汪精卫 ;39;FA;Biased Intellectual;Medium;M52041;x
700424;Foreign Minister;杨露蝉 ;44;FA;Great Compromiser;Medium;M52043;x
700425;Minister of Security;陈发科 ;44;FA;Efficient Sociopath;High;M52077;x
700426;Head of Military Intelligence;晁公;37;FA;Political Specialist;Medium;M_U74_ChaoKung;x
700427;Minister of Armament;陈策 ;43;FA;Submarine Proponent;High;M52061;x
700428;Minister of Armament;杨露蝉 ;41;FA;Resource Industrialist;Medium;M52043;x
700429;Minister of Armament;陈公博 ;39;FA;Laissez Faires Capitalist;Medium;M52014;x
700430;Minister of Security;周佛海;40;FA;Back Stabber;Medium;M_CHI_ZhouFohai;x
700431;Chief of Army;鲍文樾 ;41;FA;Static Defence Doctrine;Low;M52018;x
700432;Chief of Staff;齐燮元 ;41;FA;School of Fire Support;Low;M52017;x
700433;Minister of Security;丁默村 ;40;FA;Crooked Kleptocrat;Medium;M52015;x
700434;Minister of Security;陈翰笙 ;43;FA;Prince of Terror;High;M52076;x
700435;Foreign Minister;阿部 信行 ;42;PA;General Staffer;Medium;M_U74_AbeNobuyuki;x
700436;Head of Government;陈公博 ;44;FA;Ambitious Union Boss;High;M_U74_ChenGongbo;x
700437;Head of State;陈公博 ;45;FA;Benevolent Gentleman;High;M_U74_ChenGongbo;x
700438;Head of Government;陈公博 ;40;LWR;Ambitious Union Boss;High;M_U74_ChenGongbo;x
700439;Head of State;陈公博 ;40;LWR;Benevolent Gentleman;High;M_U74_ChenGongbo;x
700440;Chief of Staff;阿部 信行 ;39;PA;School of Defence;Medium;M_U74_AbeNobuyuki;x
700441;Chief of Army;阿部 信行 ;40;PA;Elastic Defence Doctrine;Medium;M_U74_AbeNobuyuki;x
