Black;;;
red;green;blue;index
120;120;120;0
60;60;60;29
40;40;40;50
10;10;10;64
Green;;;
red;green;blue;index
100;170;100;0
89;128;89;20
71;102;71;35
46;55;46;64
Orange;;;
red;green;blue;index
255;255;230;0
246;236;216;17
213;200;171;40
40;40;25;64
light blue;;;
red;green;blue;index
138;190;229;0
122;165;204;20
107;145;179;35
80;92;102;64
light grey;;;
red;green;blue;index
235;235;235;0
210;210;210;9
175;175;175;24
80;80;80;64
light brown;;;
red;green;blue;index
143;204;184;0
116;166;149;20
89;128;115;35
54;77;69;64
dark yellow;;;
red;green;blue;index
240;195;125;0
210;130;30;30
150;100;20;50
90;60;10;64
yellow;;;
red;green;blue;index
255;245;220;0
255;220;100;17
170;160;20;37
10;10;0;64
dark grey;;;
red;green;blue;index
240;240;170;0
180;160;100;29
120;80;30;50
90;60;10;64
light yellow;;;
red;green;blue;index
209;125;42;0
179;107;36;20
143;86;29;35
89;54;18;64
grey;;;
red;green;blue;index
157;166;152;0
119;128;117;20
95;102;94;35
59;64;58;64
dark green;;;
red;green;blue;index
187;204;102;0
152;166;83;20
117;128;64;35
70;77;38;64
blue;;;
red;green;blue;index
138;202;229;0
107;143;179;0
72;88;120;43
4;13;41;64
light red;;;
red;green;blue;index
210;203;176;0
179;173;150;21
143;138;120;42
90;86;75;64
white;;;
red;green;blue;index
255;255;255;0
200;200;220;25
140;140;140;35
80;80;80;64
dark brown;;;
red;green;blue;index
190;125;125;0
170;85;85;10
100;50;50;50
80;40;40;64
red;;;
red;green;blue;index
255;232;229;0
200;65;65;21
128;51;10;42
55;0;0;64
light green;;;
red;green;blue;index
250;250;220;0
190;220;190;25
140;180;155;35
60;60;60;64
light orange;;;
red;green;blue;index
250;220;20;0
220;180;10;6
164;130;0;10
66;50;0;64
brown;;;
red;green;blue;index
204;177;163;0
166;144;133;20
128;111;102;35
77;66;61;64
dark blue;;;
red;green;blue;index
66;88;133;0
34;61;115;20
23;41;71;35
15;27;51;64
dark red;;;
red;green;blue;index
204;36;20;0
179;31;18;20
153;27;15;35
77;13;8;64
dark orange;;;
red;green;blue;index
255;243;200;0
255;220;140;20
229;172;105;30
105;60;25;64
water;;;
red;green;blue;index
153;192;212;0
128;160;176;20
102;128;140;40
51;64;70;64
border;;;
red;green;blue;index
220;0;0;0
220;0;0;4
220;0;0;35
220;0;0;64
border outline;;;
red;green;blue;index
50;0;0;0
50;0;0;4
50;0;0;35
50;0;0;64
