ROM;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2901;Atelierele Leonida;T_ROM_Atelierele_Leonida;3;1930;1965;artillery;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2902;Carbosin;T2901;4;1930;2999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2903;Costin D. Nenitescu;T_ROM_Costin_Nenijescu;3;1930;2999;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2904;DT-UDR;T2902;4;1930;2999;mechanics;artillery;training;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2906;Emanoil Ionescu;T2908;6;1944;2999;bomber_tactics;combined_arms_focus;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2907;Fabrica de Avioanes;T_ROM_FabricadeAvioanes;3;1930;1946;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2908;Gheorghe Jienescu;T2909;4;1930;1945;fighter_tactics;bomber_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2909;Grigore Constantin Moisil;T_ROM_Grigore_Constantin_Moisil;4;1930;2999;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2910;Henri Coanda;T2913;5;1930;1944;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2911;Horia Macellariu;T2910;2;1930;1945;submarine_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2912;IAR;T2903;6;1930;2999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2913;Ion Antonescu;T2911;5;1930;1944;large_unit_tactics;centralized_execution;combined_arms_focus;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2914;Malaxa Works;T2904;5;1930;2999;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2915;MAN;T2907;6;1930;2999;electronics;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2916;Mihail Lascar;T2912;6;1945;1950;small_unit_tactics;decentralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2917;Ministry of National Defence;T2915;4;1945;2999;large_unit_tactics;centralized_execution;small_taskforce_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2918;Nicolae Vasilescu-Karpen;T_ROM_Nicolae_Vasilescu-Karpen;5;1930;2999;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2919;Santierul Naval Constanta;T_ROM_SantierulNavalConstanta;3;1930;2999;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2920;Santierul Naval Galati;T_ROM_SantierulNavalGalati;4;1930;2999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2921;Universitatea Politehnica;T2914;3;1930;2999;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2922;Uzinele Metallurgice Copsa Mica si Cugir;T_ROM_UzineleMetallurgice;4;1930;2999;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
