TAN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
11300;Tannu Tuva Mining Company;T1004;2;1930;2999;industrial_engineering;mechanics;electronics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11301;Kyzyl arsenal;T_TAN_KyzylArsenal;2;1930;2999;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11302;Kyzyl airport;T_TAN_Kyzyl_airport;2;1952;2999;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11303;Tuvinian Air Force;T_TAN_Tuvinian_Air_Force;1;1939;2999;mechanics;aircraft_testing;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11304;Tuvan Experimental Agricultural Station;T_TAN_Tuvan_Experimental_Agricultural_Station;1;1930;2999;mechanics;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11305;Central Bank of Tannu Tuva;T_TAN_Central_Bank_of_Tannu_Tuva;1;1930;2999;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11306;Khomushku Churgui-ool;T_TAN_Khomushku_Churgui-ool;2;1930;2999;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11307;Tuvinian Cavalry Squadron;T_TAN_Tuvinian_Cavalry_Squadron;1;1930;2999;training;general_equipment;centralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x


