ALB;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8200;Albanian Army Industries;T13;1;1930;2999;artillery;general_equipment;mechanics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8201;Tirana Industrial Combine;T3812;2;1930;2999;industrial_engineering;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8202;Akademine Ushtarake Skenderbej;T8200;1;1930;2999;individual_courage;centralized_execution;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8203;Kantieri Detar Durres;T3802;1;1930;2999;naval_engineering;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8204;Albanian Mines;T_ALB_Mines;2;1930;2999;industrial_engineering;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8205;Universiteti Politeknik i Tiranës;T_ALB_UniversitetiPoliteknikiTirane;1;1951;2999;mathematics;electronics;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8206;Forcat Ajrore Shqiptare;T_ALB_AirForce;1;1952;2999;piloting;centralized_execution;aeronautics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8207;Flota Luftarake detare;T_ALB_Navy;2;1945;2999;submarine_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8208;Abas Kupi;T_ALB_Abas_Kupi;2;1930;2999;small_unit_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x


