U34;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
93400;Food Processing Industries;Tfpi;3;1910;2999;management;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93401;Schofield Barracks;Tarm;5;1910;2999;chemistry;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93402;Fort Shafter;Twarc;4;1910;2999;centralized_execution;decentralized_execution;large_unit_tactics;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93403;Pearl Harbor;Tnwc;6;1910;2999;seamanship;carrier_tactics;large_taskforce_tactics;submarine_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93404;Hickam Field;Tfsc;4;1910;2999;piloting;fighter_tactics;aircraft_testing;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93405;Hawaii Shipyards;Tnav;4;1910;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93406;Hawaiian Airlines;Tsav;4;1910;1965;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93407;University of Hawaii;T93407;4;1910;1948;chemistry;mathematics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93408;University of Hawaii;T93407;4;1949;2999;chemistry;mathematics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93409;Oahu Railway;Tsrs;3;1910;1946;mechanics;management;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93410;Hawaiian Airlines;Tasi;5;1966;2999;aeronautics;chemistry;electronics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93411;Naval Air Station;Tafld;4;1919;2999;aeronautics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93412;Marine Corps Base Hawaii;T93412;4;1952;2999;decentralized_execution;individual_courage;infantry_focus;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93413;Aviation Machinists' Shop;T93413;2;1930;2999;aeronautics;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93414;IAEA;T_IAEA;2;1957;2999;chemistry;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
