KOR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13500;Bupyeong Arsenal;T_KOR_Bupyeong_Arsenal;4;1934;2999;general_equipment;training;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13501;Choi Gyunam;T_KOR_Choi_Gyunam;4;1930;2999;nuclear_physics;chemistry;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13502;Choi Yongdeok;T_KOR_Choi_Yongdeok;4;1930;1965;aircraft_testing;bomber_tactics;decentralized_execution;fighter_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13503;Gojan Arsenal;T_KOR_Gojan_Arsenal;4;1940;1955;general_equipment;chemistry;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13504;Incheon Navy Yard;T_KOR_Incheon_Navy;4;1930;2999;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13505;Ji Cheongcheon;T_KOR_Ji_Cheongcheon;5;1930;1946;infantry_focus;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13506;Jinhae Navy Yard;T_KOR_Jinhae_Navy;4;1930;2999;naval_engineering;electronics;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13507;Korea Atomic Energy Research Institute;T_KOR_Korea_Atomic;4;1959;2999;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13508;Korean Air Force;T_KOR_Korean_Air;4;1930;2999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13509;Kyeongseong Precision Industry;T_KOR_Kyeongseong_Precision;4;1944;2999;mechanics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13510;Laboratory of Army Research and Development Command;T_KOR_LaboratoryofArmy;5;1961;1971;artillery;chemistry;mechanics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13511;Lakhui Chemical Industry;T_KOR_Lakhui_Chemical;5;1947;2999;mechanics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13512;Lee Chunho;T_KOR_Lee_Chunho;5;1947;2999;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13513;Lee Jongchan;T_KOR_Lee_Jongchan;5;1937;2999;combined_arms_focus;small_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13514;Samsung;T_KOR_Samsung;6;1938;2999;electronics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13515;Science Laboratory of the Ministry of Defence;T_KOR_Science_Laboratory ;4;1930;1961;artillery;mechanics;technical_efficiency;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13516;Seoul National University;T_KOR_Seoul_National _University;4;1930;2999;mathematics;electronics;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13517;Son Wonil;T_KOR_Son_Wonil;4;1930;2999;seamanship;small_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13518;Woo Jangchun;T_KOR_Woo_Jangchun;5;1930;1959;chemistry;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x

