CAL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
10300;Bethlehem Steel Corporation San Francisco;T10300;5;1930;2999;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10301;California Institute of Technology;T10301;4;1930;2999;mathematics;mechanics;chemistry;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10302;California Maritime Academy;T10313;6;1930;2999;naval_training;seamanship;management;mechanics;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10303;California Shipbuilding Corporation;T10302;6;1930;2999;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10304;Camp Pendleton;T10303;6;1930;2999;artillery;general_equipment;naval_engineering;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10305;Chrysler Motors of California;T10304;7;1930;2999;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10306;Lawrence Berkeley National Laboratory;T10305;6;1930;2999;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10307;Lockheed;T10306;6;1930;2999;aeronautics;technical_efficiency;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10308;Muroc Army Air Field;T10315;5;1930;2999;aircraft_testing;bomber_tactics;fighter_tactics;aeronautics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10309;North American Aviation;T10307;7;1930;2999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10310;Richmond Assembly Plant;T_CAL_RichmondAssemblyPlant;4;1930;2999;mechanics;artillery;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10311;San Diego Naval Bases;T10314;7;1930;2999;submarine_tactics;seamanship;naval_training;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10312;Southern Pacific Railroad;T10308;5;1930;2999;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10313;Standard Oil of California;T117;8;1930;2999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10314;Stanford University;T10310;5;1930;2999;electronics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10315;The Presidio;T10312;6;1930;2999;small_unit_tactics;decentralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10316;Western Pacific Railroad;T10311;5;1930;2999;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
