LAO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
11800;Royal Lao Army;T_LAO_Royal_Army;3;1930;2999;small_unit_tactics;infantry_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11801;Vang Pao;T_LAO_Vang_Pao;5;1954;2010;infantry_focus;decentralized_execution;small_unit_tactics;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11802;Royal Lao Air Force;T_LAO_RLAF;3;1936;2999;bomber_tactics;fighter_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11803;Civil Air Transport;T_LAO_CAT;5;1950;1976;aeronautics;chemistry;electronics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11804;Telephone System;Tele;2;1910;2999;electronics;mathematics;chemistry;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11805;Ministry of Defence;Tarm;4;1910;2999;chemistry;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11806;Ministry of Education;Tsus;2;1910;1995;management;mechanics;chemistry;mathematics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11807;University of Laos;T_U69_ULaos;4;1996;2999;chemistry;mathematics;management;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11808;Lao Air;Tasi;3;1977;2999;aeronautics;chemistry;electronics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11809;Electricite du Laos;Telek;3;1959;2999;management;industrial_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
