U67;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
96700;Standard Oil of Indiana;T96700;7;1910;1970;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96701;Rock Island Arsenal;Tarm;7;1910;2999;chemistry;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96702;Ford Motor Company;T104;7;1910;2999;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96703;Aircraft Manufacturers;Tsav;6;1910;1945;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96704;Chicago Shipbuilding;Tnav;5;1910;2999;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96705;Glenview Naval Air Station;Tfsc;4;1910;2999;carrier_tactics;fighter_tactics;bomber_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96706;Camp Grayling;Twarc;5;1914;2999;centralized_execution;decentralized_execution;large_unit_tactics;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96707;Detroit Arsenal Tank Plant;T_USA_DetroitArsenal;5;1940;2999;mechanics;artillery;technical_efficiency;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96708;Aerospace Manufacturers;Tasi;6;1946;2999;aeronautics;chemistry;electronics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96709;University of Michigan;T96709;4;1910;2999;chemistry;mathematics;management;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96710;B & O Railroad;Tsrs;4;1910;2999;mechanics;management;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96711;University of Chicago;T96711;5;1939;2999;chemistry;mathematics;nuclear_physics;nuclear_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
