U20;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
92000;Ministry of Industry;Tind;7;1910;2999;management;industrial_engineering;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92001;State Armory;Tarm;7;1910;2999;chemistry;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92002;Automotive Industry;Tauto;6;1910;2999;mechanics;industrial_engineering;technical_efficiency;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92003;Army War College;Twarc;5;1910;2999;centralized_execution;decentralized_execution;large_unit_tactics;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92004;Naval War College;Tnwc;4;1910;2999;seamanship;small_taskforce_tactics;large_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92005;State Flight School;Tfsc;4;1910;2999;bomber_tactics;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92006;State Naval Shipyard;Tnav;6;1910;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92007;State Aviation Industries;Tsav;7;1910;2999;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92008;State University System;Tsus;4;1930;2999;chemistry;mathematics;rocketry;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92009;State Railways;Tsrs;4;1910;2999;mechanics;management;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92010;State Aerospace Industries;Tairfact;6;1948;2999;aeronautics;chemistry;electronics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
