SPA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3100;CASA;T3100;3;1930;2999;aeronautics;technical_efficiency;electronics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3101;CROS, SA;T3101;2;1930;2999;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3102;Dr. Areilza y Mtez.-Rodas;T3102;3;1930;2999;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3103;Esperanza & Unceta;T3103;4;1930;2999;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3104;Fábrica de Armas de Trubia;T3104;4;1930;2999;mechanics;artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3105;Maestranza Artillería Ferrol;T3105;4;1930;2999;mechanics;artillery;chemistry;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3106;Juan López Soler;T3106;4;1930;2999;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3108;Franco Bahamonde;T3108;4;1930;2999;infantry_focus;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3109;García Valiño;T3109;5;1930;2999;decentralized_execution;small_unit_tactics;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3110;Instituto Químico de Sarriá;T3110;4;1930;2999;chemistry;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3111;García Morato;T3111;5;1930;1939;aircraft_testing;fighter_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3112;La Hispano;T3112;5;1937;2999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3113;SECN;T3113;5;1930;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3115;Cervera Valderrama;T3115;4;1930;2999;naval_training;small_taskforce_tactics;seamanship;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3116;Kinderlán Duany;T3116;3;1930;1946;aircraft_testing;bomber_tactics;piloting;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3117;Compañía Española de Petróleos SA;T3117;4;1930;2999;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3118;Angel Salas Larrazabal;T3118;4;1939;2999;aircraft_testing;fighter_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3119;Universidad Complutense de Madrid;T_SPA_Complutense;5;1940;2999;mathematics;management;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3120;ASTANO;T_SPA_Astano;3;1941;2999;naval_engineering;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3121;Abengoa;T_SPA_Abengoa;3;1941;2999;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3122;Grifols;T_SPA_Grifols;5;1940;2999;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3123;INI-Instituto Nacional de Industria;T_SPA_INI;3;1939;1959;chemistry;industrial_engineering;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
