SCO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13000;Blackburn Aircraft Company;T13000;5;1930;2999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13001;Gloster Aircraft Company;T13001;7;1930;2999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13002;Harland & Wolff;T13002;7;1930;2999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13003;Rosyth Dockyard;T13003;6;1930;2999;naval_engineering;naval_artillery;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13004;Scottish Ordnance Factories;T13004;6;1930;2999;mechanics;artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13005;Scottish Railways;T13005;6;1930;2999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13006;University of Edinburgh;T13006;4;1930;2999;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13007;Fort George;T13013;5;1930;2999;centralized_execution;small_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13008;Scottish Navy;T13014;4;1930;2999;naval_training;small_taskforce_tactics;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13009;Banff Air Base;T13015;5;1930;2999;bomber_tactics;fighter_tactics;aircraft_testing;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13010;Weir Group;T_SCO_Weir;4;1930;2999;management;technical_efficiency;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13011;Albion Motors;T_SCO_Albion;4;1930;2999;technical_efficiency;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13012;Babcock & Wilcox Ltd.;T_SCO_Babcock;4;1930;2999;artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13013;Bruce Peebles & Co;T_SCO_BrucePeeblesCo;3;1930;2999;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13014;Dounreay Nuclear Establishment;T_SCO_DounreayNuclearEstablishment;2;1955;2999;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13015;John Brown & Co.;T_SCO_JohnBrown;5;1930;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13016;Nobel Industries Ltd;T_SCO_Nobel;3;1930;2999;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13017;Scottish Aviation;T_SCO_ScottishAviation;4;1935;2999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13018;William Beardmore and Company;T13015;4;1930;2999;mechanics;naval_engineering;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13020;Walter St.George Kirke;T_SCO_WalterStGeorgeKirke;3;1930;1940;infantry_focus;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13021;Arthur Tedder;T_SCO_ArthurTedder;4;1930;2999;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x


