AUS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
600;Alexander Löhr;T_AUS_Alexander_Löhr;6;1930;1945;bomber_tactics;combined_arms_focus;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
601;Alfred Hubicki;T_AUS_Alfred_Hubicki;4;1930;1945;small_unit_tactics;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
602;Alfred Jansa;T_AUS_Alfred_Jansa;5;1930;1945;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
603;Anselm Franz;T_AUS_Anselm_Franz;6;1930;2999;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
604;August Fischer-See;T_AUS_August_Fischer-See;4;1945;2999;decentralized_execution;aircraft_testing;piloting;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
605;Daimler;T_AUS_Daimler;7;1930;2999;mechanics;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
606;Erwin Fussenegger;T_AUS_Erwin_Fussenegger;5;1945;2999;centralized_execution;training;infantry_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
607;Erwin Schrödinger;T_AUS_Erwin_Schrödinger1;7;1930;1939;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
608;Erwin Schrödinger;T_AUS_Erwin_Schrödinger2;7;1956;1961;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
609;Georg Stetter;T_AUS_Georg_Stetter;5;1939;2999;nuclear_physics;mathematics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
610;Georg Trapp;T_AUS_Georg_Trapp;4;1930;1947;centralized_execution;naval_training;seamanship;small_taskforce_tactics;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
611;GÖCH-Gesellschaft Österreichischer Chemiker;T_AUS_GOCH;4;1930;2999;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
612;Hirtenberger Patronenfabrik;T_AUS_Hirtenberger_Patronenfabrik;5;1930;2999;general_equipment;technical_efficiency;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
613;Hirtenberger-Hopfner;T_AUS_Hirtenberger-Hopfner;4;1930;2999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614;Julius Yllam;T_AUS_Julius_Yllam;4;1930;1942;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615;Korneuburg Werft AG;T_AUS_Korneuburg_Werft;2;1930;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
616;Kurt Gödel;T_AUS_Kurt_Gödel;7;1930;1939;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
617;Österreichische Donauflottille;T_AUS_Österreichische_Donauflottille;2;1930;2999;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
618;Österreichische Luftstreitkräfte;T_AUS_Österreichische_Luftstreitkräfte;3;1930;2999;piloting;aircraft_testing;fighter_tactics;aeronautics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
619;Österreichisches Bundesheer;T_AUS_Österreichisches_Bundesheer;5;1930;2999;small_unit_tactics;centralized_execution;infantry_focus;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
620;Otto Kauba;T_AUS_Otto_Kauba;5;1942;2999;aeronautics;artillery;technical_efficiency;chemistry;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
621;Paul Lube;T_AUS_Paul_Lube;4;1945;2999;centralized_execution;aircraft_testing;piloting;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
622;Pintsch Bamag;T_AUS_Pintsch_Bamag;4;1930;2999;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
623;Puch;T_AUS_Puch;5;1930;2999;general_equipment;training;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
624;Steyr;T_AUS_Steyr;5;1930;2999;mechanics;artillery;general_equipment;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
625;Technische Universität Wien;T_AUS_Technische_Universität_Wien;4;1930;2999;small_unit_tactics;chemistry;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
626;Werner Vogl;T_AUS_Werner_Vogl;4;1945;2999;decentralized_execution;training;combined_arms_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
627;Wolfgang Gröbner;T_AUS_Wolfgang_Gröbner;5;1930;2999;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x


