CUB;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6300;Ferrocarriles de Cuba;T6300;4;1930;2999;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6301;Arechalaba Industries;T6301;5;1930;2999;industrial_engineering;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6302;Compañia Transatlantica;T6302;3;1930;2999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6303;Fulgencio Batista;T6303;3;1930;1973;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6304;United Fruit Company;T5209;2;1930;1959;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6305;Fidel Castro;T6305;5;2999;2006;small_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6306;Transportation Ministry;T6306;3;2999;2999;industrial_engineering;general_equipment;management;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6307;MINFAR;T6307;4;2999;2999;general_equipment;artillery;technical_efficiency;mechanics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6308;Universidad de La Habana;T_CUB_UniversidaddeLaHabana;3;1930;2999;mathematics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6309;Pedro Kourí Institute;T_CUB_PedroKouríInstitute;3;1938;2999;chemistry;centralized_execution;small_unit_tactics;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6310;Dirección General de Inteligencia;T_CUBA;3;2999;2999;centralized_execution;decentralized_execution;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6311;Cubapetroleo;T_CUB_CUPET;3;2999;2999;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6312;Che Guevara;T_CUB_Guevara;6;2999;1966;infantry_focus;training;small_unit_tactics;decentralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6313;Cuban Army;T_CUB_Army;3;1952;2999;small_unit_tactics;training;infantry_focus;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6314;Cuban Navy;T_CUB_Navy;2;1952;2999;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6315;Cuban Air Force;T_CUB_AF;3;1952;2999;piloting;aircraft_testing;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6316;Cubana de Aviación;Tfsc;3;1929;1959;aeronautics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6317;Cubana de Aviación;Tasi;4;1960;2999;aeronautics;electronics;chemistry;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6318;Soviet Attache;T_SovietAid;4;2999;1991;naval_engineering;naval_artillery;general_equipment;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
