AST;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
500;Army Inventions Directorate;T500;5;1930;2999;general_equipment;mechanics;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
501;Australian Atomic Energy Commission;T_AST_AustralianAtomicEnergyCommission;5;1952;2999;nuclear_engineering;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
502;Challona Tank Assembly Shops;T501;4;1930;2999;artillery;chemistry;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
503;Cockatoo Island Shipyard;T513;4;1930;2999;electronics;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
504;CSIRO;T514;5;1930;2999;chemistry;electronics;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
505;de Havilland;T502;5;1930;2999;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
506;Dudley Lavarack;T_AST_Dudley_Lavarack;6;1930;1957;combined_arms_focus;decentralized_execution;individual_courage;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
507;Ford Motors;T503;5;1930;2999;industrial_engineering;management;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
508;Guy Royle;T_AST_Guy_Royle;5;1930;1945;centralized_execution;naval_training;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
509;Horace R. Campbell;T13607;4;1945;1954;combined_arms_focus;individual_courage;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
510;John Collins;T508;6;1930;2999;carrier_tactics;centralized_execution;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
511;Maribyrnong Munition Factories;T_AST_MaribyrnongMunitionFactories;5;1930;2999;artillery;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
512;New South Wales State Railways;T504;6;1930;2999;general_equipment;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
513;Ragnar Colvin;T_AST_Ragnar_Colvin;4;1930;1954;centralized_execution;naval_training;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
514;Richard Williams;T510;6;1930;2999;aircraft_testing;decentralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515;Sir Colin Thomas Hannah;T517;4;1959;2999;aircraft_testing;centralized_execution;combined_arms_focus;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
516;Sir Sydney Fairbairn Rowell;T516;6;1950;1968;combined_arms_focus;decentralized_execution;individual_courage;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
517;Thomas Blamey;T_AST_Thomas_Blamey;4;1938;1951;centralized_execution;combined_arms_focus;individual_courage;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
518;University of Melburne;T_AST_UnivMelburne;5;1930;2999;chemistry;electronics;mathematics;mechanics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
519;Vickers-Armstrong Ltd.;T505;5;1930;2999;aeronautics;artillery;mechanics;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520;Wilfred Harrington;T_AST_Wilfred_Harrington;4;1954;1965;centralized_execution;naval_training;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
521;William Bostock;T_AST_William_Bostock;5;1930;1958;aircraft_testing;bomber_tactics;centralized_execution;combined_arms_focus;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
522;Woomera Test Range;T_AST_WoomeraTestRange;5;1947;2999;aeronautics;electronics;management;nuclear_engineering;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x

