U31;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
93100;Ministerio de Industria;Tind;5;1910;2999;management;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93101;Estado Armería;Tarm;5;1910;2999;chemistry;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93102;Escuela Guerra Ejército;Twarc;5;1910;2999;centralized_execution;decentralized_execution;large_unit_tactics;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93103;Escuela Guerra Naval;Tnwc;5;1910;2999;seamanship;small_taskforce_tactics;large_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93104;Escuelas Estado Vuelo;Tfsc;5;1910;2999;piloting;fighter_tactics;aircraft_testing;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93105;Estado Astillero Naval;Tnav;4;1910;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93106;Industrias Estado Aviación;Tsav;4;1910;1954;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93107;Universidad de Puerto Rico;Tsus;5;1910;2999;chemistry;mathematics;management;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93108;Ferrocarriles Estado;Tsrs;4;1910;1957;mechanics;management;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93109;Estado Aeroespacial;Tsav;4;1955;2999;aeronautics;chemistry;electronics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93110;Comisión Energía Atómica;Taec;3;1965;2999;mathematics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93111;UPR Tecnología;Tsri;5;1955;2999;chemistry;mathematics;rocketry;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93112;Refinería Borinquen;Tin2;6;1955;2999;management;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
