SOV;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3700;61 Kommunara Nikolayev Shipyards;T3700;4;1930;2999;naval_engineering;electronics;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3701;Barrikada Factory Design Bureau;T3701;5;1930;2999;artillery;mechanics;general_equipment;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3702;Charkov Factory Design Bureau;T3702;7;1930;2999;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3703;RNII;T3703;5;1930;2999;rocketry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3704;Igor Kurchatov;T3704;4;1930;1960;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3705;Boris Shaposhnikov;T3705;4;1930;1945;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3706;Mikhail Tukhachevsky;T3706;5;1930;1939;combined_arms_focus;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3707;Alexander Vasilevsky;T3707;7;1940;2999;combined_arms_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3708;Grabin Design Bureau;T3708;5;1930;2999;mechanics;artillery;technical_efficiency;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3709;Ilyushin Design Bureau;T3709;6;1930;2999;aeronautics;electronics;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3710;Kirov Factory Design Bureau;T3710;6;1930;2999;mechanics;artillery;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3711;Nevskoye Design Bureau;T3711;4;1930;2999;naval_engineering;technical_efficiency;naval_artillery;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3712;Nizny Tagil Factories;T3712;6;1930;2999;mechanics;chemistry;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3713;STZ Factory Design Bureau;T3713;5;1930;2999;mechanics;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3714;Tupolev Design Bureau;T3714;5;1930;2999;aeronautics;electronics;chemistry;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3715;Nikolai Kuznetsov;T3715;6;1930;1974;naval_artillery;small_taskforce_tactics;submarine_tactics;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3716;J.I. Alksnis;T3716;6;1930;1939;aircraft_testing;piloting;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3717;Alexander Novikov;T3717;6;1940;1976;aircraft_testing;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3718;Yakovlev Design Bureau;T3718;8;1930;2999;aeronautics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3719;Igor Tamm;T3719;6;1945;1971;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3720;RKK Energiya;T_SOV_RKKEnergiya;7;1946;1956;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3721;Vozdushno-Desantnye Voyska;T3721;5;1930;1941;artillery;general_equipment;training;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3722;Sergei Gorshkov;T_SOV_Sergei_Gorshkov;7;1956;1988;large_taskforce_tactics;rocketry;naval_training;submarine_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3723;Mikhail Kalashnikov;T_SOV_Kalashnikov;7;1942;2999;training;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3724;Izhevsk Ordnance Plant;T_SOV_IzhevskOrdnancePlant;7;1947;2999;artillery;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3725;Andrei Sakharov;T_SOV_Andrei_Sakharov;9;1950;1979;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3726;Mikoyan-Gurevich Design Bureau;T_SOV_Mikoyan-GurevichDB;5;1939;1958;aeronautics;artillery;electronics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3727;Sukhoi Design Bureau;T_SOV_SukhoiDB;6;1942;1969;aeronautics;electronics;chemistry;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3728;Rubin Central Design Bureau for Marine Engineering;T_SOV_RubinCentralDB;6;1952;2999;naval_engineering;naval_artillery;technical_efficiency;electronics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3729;Kartsev-Venediktov Design Bureau;T_SOV_Kartsev-VenediktoDB;8;1946;2999;artillery;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3730;NPO Mashinostroyeniye;T_SOV_Mashino;6;1944;2999;rocketry;electronics;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3731;Vasily Sokolovsky;T_SOV_Sokolovsky;7;1952;1968;combined_arms_focus;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3732;Konstantin Vershinin;T_SOV_Konstantin_Vershinin;6;1947;1968;combined_arms_focus;aircraft_testing;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3733;Aleksei Antonov;T_SOV_Antonov;6;1944;1962;combined_arms_focus;large_unit_tactics;decentralized_execution;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3734;Rodion Malinovsky;T_SOV_Rodion_Malinovsky;7;1954;1967;combined_arms_focus;large_unit_tactics;decentralized_execution;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3735;TSKB Almaz;T_SOV_Almaz;7;1948;2999;rocketry;electronics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3736;IPMCE;T_SOV_IPMCE;6;1948;2999;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3737;NKVD;T_SOV_NKVD;4;1930;1953;centralized_execution;decentralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3738;KGB;T_SOV_KGB;5;1954;2999;centralized_execution;decentralized_execution;electronics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3739;RKK Energiya;T_SOV_RKKEnergiya;7;1957;2999;rocketry;aeronautics;technical_efficiency;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3740;Trans Siberian Railways;T_SOV_TransSiberianRailroad;5;1930;2999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3741;Mikoyan-Gurevich Design Bureau;T_SOV_Mikoyan-GurevichDB;7;1959;2999;aeronautics;artillery;electronics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3742;Sukhoi Design Bureau;T_SOV_SukhoiDB;7;1970;2999;aeronautics;electronics;chemistry;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3743;Soviet Ground Forces;T_SOV_Army;6;1969;2999;combined_arms_focus;large_unit_tactics;decentralized_execution;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3744;Soviet Navy;T_SOV_Navy;6;1989;2999;large_taskforce_tactics;carrier_tactics;naval_training;submarine_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3745;Soviet Air Forces;T_SOV_AF;6;1977;2999;aircraft_testing;bomber_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3746;Ministry of Nuclear Engineering;T_RUS_miniatom;7;1980;2999;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3747;Boris Malinin;T_SOV_Malinin;4;1926;1949;submarine_tactics;small_taskforce_tactics;centralized_execution;naval_engineering;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
