CHI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1000;CAMCO;T1000;2;1930;2999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1001;Dading Engine Factory;T1001;3;1930;2999;aeronautics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1002;Hanyang Arsenal;T1002;2;1930;2999;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1004;Chung Hing Coal Company;T1004;2;1930;2999;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1005;Alexander von Falkenhausen;T1005;4;1930;1948;large_unit_tactics;infantry_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1006;Chiang Kai-shek;T1006;2;1930;1975;large_unit_tactics;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1007;Claire Chennault;T1007;4;2999;1958;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1008;Republic of China Air Force;T1008;2;1930;1969;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1009;Republic of China Navy;T1009;2;1930;1979;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1010;Kiangnan Dock and Engineering Works;T1010;2;1930;2999;naval_artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1011;Institute of Mathematics - Academia Sinica;T1011;5;1930;2999;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1012;Academia Sinica;T1012;2;1930;2999;mechanics;chemistry;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1013;Huangpu Military Academy;T1013;2;1930;1969;large_unit_tactics;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1014;China National Aviation Corporation;T1014;2;1930;2999;aeronautics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015;Chang'an;T1015;3;1930;2999;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1016;Yong Li;T1016;4;1930;2999;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1017;National Machine Works;T8500;3;1930;2999;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1018;China Development & Finance Corp.;T1018;2;1930;2999;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1019;National Tsing Hua University;T1019;3;1930;2999;mathematics;electronics;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1020;CSIST;T1020;5;1950;1968;rocketry;aeronautics;electronics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1021;Ta-You Wu;T_CHI_Ta-You_Wu;4;1950;1999;mathematics;nuclear_physics;nuclear_engineering;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1028;ORDC;T_CHI_ORDC;7;1971;2999;mechanics;artillery;chemistry;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
