CMB;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
10100;Royal Khmer University;T10100;3;1960;2999;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10101;National Defense Academy;T10101;5;1930;2999;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10102;Sisowath Monireth;T10102;4;1930;1969;small_unit_tactics;training;individual_courage;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10103;André Patou;T10103;3;1930;1954;small_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10104;Jacques Trolley de Prevaux;T10104;3;1943;1954;large_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10105;Norodom Sihanouk;T10105;3;1941;1969;centralized_execution;combined_arms_focus;aircraft_testing;bomber_tactics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10106;Jacques Soufflet;T10106;3;1930;1954;fighter_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10107;Kampot Docks;T3802;2;1930;2999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10108;Phnom Penh Military Depot;T10401;3;1930;2999;artillery;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10108;Royal Cambodia Air Force;T_CMB_RCAF;3;1955;2999;fighter_tactics;piloting;aircraft_testing;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10110;Royal Cambodia Navy;T_CMB_RCN;3;1955;2999;large_taskforce_tactics;naval_training;small_taskforce_tactics;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10111;Ministry of Defence;Twarc;4;1970;2999;small_unit_tactics;training;combined_arms_focus;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10112;Ministry of Education;Tsus;2;1930;1959;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10113;Cambodia Rail;Tsrs;3;1930;2999;mechanics;management;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
