U64;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
96400;Harbor Island Industries;T96400;7;1910;2999;management;industrial_engineering;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96401;National Guard Armory;Tarm2;6;1910;2999;chemistry;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96402;Kenworth Truck Company;T96402;6;1910;2999;mechanics;industrial_engineering;technical_efficiency;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96403;Fort Lewis;T96403;5;1910;2999;centralized_execution;decentralized_execution;large_unit_tactics;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96404;Naval Sub Base Bangor;Tsubs;4;1910;2999;seamanship;small_taskforce_tactics;large_taskforce_tactics;submarine_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96405;Whidbey Island Naval Air Station;T96405;4;1910;2999;seamanship;naval_training;large_taskforce_tactics;piloting;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96406;Puget Sound Naval Shipyard;T96406;7;1910;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96407;McChord Field;Tair2;4;1910;2999;bomber_tactics;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96408;Boeing;T100;8;1910;1946;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96409;University of Washington;T96409;4;1930;2999;chemistry;mathematics;rocketry;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96410;Northern Pacific Railroad;T96410;5;1910;2999;mechanics;management;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96411;Boeing Aerospace;T100;8;1947;2999;aeronautics;chemistry;electronics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96412;Vancouver Industries;Tind;5;1910;2999;management;industrial_engineering;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96413;Munitions and Supply;Tarm;6;1910;2999;chemistry;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96414;Dept of Transportation;Tauto;4;1910;2999;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96415;Defense Department;Twarc;5;1910;2999;centralized_execution;decentralized_execution;large_unit_tactics;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96416;CFB Esquimalt;Tnwc;4;1910;2999;seamanship;small_taskforce_tactics;large_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96417;Air Board;Tfsc;4;1910;2999;bomber_tactics;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96418;Burrad Dry Dock Company;Tnav;6;1910;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96419;Boeing Richmond;Tairfact;8;1910;1946;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96420;University of British Columbia;Tsus;3;1930;2999;chemistry;mathematics;rocketry;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96421;Canadian Pacific Railroad;Tsrs;4;1910;2999;mechanics;management;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
