GRE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1500;AEEXPL;T_GRE_AEEXPL;3;1930;2999;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1501;Alexandros Papagos;T1504;4;1930;2999;small_unit_tactics;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1502;Alexandros Zannas;T_GRE_Alexandros_Zannas;3;1930;1949;aircraft_testing;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1503;Artillery Ballistics School;T1506;3;1930;2999;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1504;Bioxalko;T_GRE_Bioxalko;3;1937;2999;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1505;Ethnikon Metsovion Polytechneion;T_GRE_EthnikonMetsovionPolytechneion;3;1930;2999;mechanics;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1506;Evelpidon Military Academy;T_GRE_Evelpidon;4;1930;2999;general_equipment;training;centralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1507;Greek Powder and Cartridge Company - Pyrkal;T_GRE_Pyrkal;4;1930;2999;mechanics;general_equipment;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1508;KEA;T1500;4;1930;2999;aeronautics;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1509;Naval Academy;T_GRE_NavalAcademy;4;1930;2999;naval_training;seamanship;small_taskforce_tactics;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1510;Neorion Syrou;T_GRE_NeorioSyrou;3;1930;2999;naval_engineering;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1511;OASA;T1501;4;1930;2999;mechanics;electronics;management;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1512;OTE;T_GRE_OTE;3;1930;2999;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1513;Royal Hellenic Naval Shipyard;T_GRE_RoyalHellenicShipyard;4;1939;2999;naval_engineering;technical_efficiency;electronics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1514;SPAP;T1503;4;1930;2999;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1515;Sxoli Ikaron;T_GRE_Sxoli_Ikaron;4;1930;2999;fighter_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1516;TITAN;T_GRE_TITAN;2;1930;2999;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
