IRQ;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6000;Iraq Petroleum Company;T6000;6;1930;2999;industrial_engineering;chemistry;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6001;General Staff;T6001;2;1930;2999;large_unit_tactics;decentralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6002;Iraqi Airforce;T_IRQ_Airforce;2;1930;2999;piloting;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6003;Baghdad Arsenal;T1410;4;1930;2999;artillery;mechanics;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6004;Iraq Aeroplane Company;T6105;3;1930;2999;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6005;John Bagot Glubb;T6005;4;1942;2999;training;centralized_execution;small_unit_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6006;Alan Rawlinson;T6006;4;1930;2999;aircraft_testing;fighter_tactics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6007;Nuri As Said I;T_IRQ_Nuri_As_Said_I;3;1937;1957;centralized_execution;large_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x


