YUG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3800;Aleksandar Cincar-Markovic;T3811;3;1930;2999;large_unit_tactics;centralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3801;Draža Mihailovic;T_SER_Draža_Mihailovic;4;1930;1958;small_unit_tactics;decentralized_execution;training;combined_arms_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3802;Dusan Simovic;T3809;3;1930;2999;bomber_tactics;centralized_execution;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3803;Elektronska Industrija Niš;T_YUG_ElektronskaIndustrijaNis;5;1948;2999;electronics;chemistry;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3804;Ikarus;T3800;4;1930;2999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3805;Industrija Aeroplanskih Motora;T3801;3;1930;2999;industrial_engineering;mechanics;technical_efficiency;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3806;Jadransko Brodogradiliste;T3802;3;1930;2999;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3807;Memorandum Teleoptik;T3803;5;1930;2999;industrial_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3808;Mikron;T3804;4;1930;2999;industrial_engineering;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15812;Milan Nedic;T_SER_Milan_Nedic;4;1930;1952;large_unit_tactics;centralized_execution;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3810;Yugoimport SDPR;T_YUG_YUGIMPORT;5;1949;2999;mechanics;electronics;artillery;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3811;Yugoslavian Navy;T3808;3;1930;2999;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3812;Yugoslavian State Railroads;T3805;5;1930;2999;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3813;Zastava Arsenal;T3812;5;1930;2999;general_equipment;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3814;Zivojin Rogozarski;T3806;3;1930;2999;aeronautics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3815;ZMAJ;T3807;4;1930;2999;naval_engineering;aeronautics;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x


