U21;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
92100;Ministry of Industry;Tind;4;1910;2999;management;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92101;State Armory;Tarm;5;1910;2999;chemistry;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92102;Naval War College;Tnwc;4;1910;2999;seamanship;small_taskforce_tactics;large_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92103;Univ Alaska Anchorage;T92103;4;1954;2999;mathematics;electronics;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92104;Alaska Airlines;Tasi;5;1961;2999;aeronautics;chemistry;electronics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92105;Poker Flat Research Range;T92105;7;1968;2999;nuclear_physics;nuclear_engineering;mathematics;rocketry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92106;Eielson AFB;T92106;5;1943;2999;fighter_tactics;aircraft_testing;piloting;bomber_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92107;Univ Alaska Fairbanks;T92107;3;1930;2999;mathematics;electronics;chemistry;rocketry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92108;Fort Richardson;T92108;5;1910;2999;centralized_execution;individual_courage;infantry_focus;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92109;Alaska Railroad;T92109;4;1910;2999;mechanics;management;industrial_engineering;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92110;Alaska Star Airlines;T92110;4;1930;1960;aeronautics;industrial_engineering;technical_efficiency;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92111;Alaska Naval Yard;T92111;4;1910;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92112;Supercomputing Center;T92112;7;1993;2999;electronics;mathematics;management;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92113;Alaska Pipeline;T92113;7;1974;2999;chemistry;management;industrial engineering;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92114;Ladd Field;Tfsc;3;1940;2999;fighter_tactics;centralized_execution;aircraft_testing;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
