CZE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1100;Aero;T_CZE_Aero;6;1930;2999;aeronautics;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1101;Avia;T_CZE_AIVA;5;1930;2999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1102;Ceská Zbrojovka;T1102;5;1930;2999;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1103;C-K-D;T1103;7;1930;2999;mechanics;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1104;Letov;T_CZE_Letov;4;1930;2999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1105;Skoda;T1105;8;1930;2999;mechanics;industrial_engineering;management;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1106;Emil Janouska;T1106;4;1930;1939;bomber_tactics;combined_arms_focus;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1108;Sergej Vojcechovský;T1108;4;1930;1945;training;small_unit_tactics;combined_arms_focus;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1109;Jaroslav Heyrovsky;T1109;6;1930;2999;mathematics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1110;Charles University Prague;T1110;5;1930;2999;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1111;Ministry of Defence;T1111;4;1930;2999;large_unit_tactics;centralized_execution;fighter_tactics;piloting;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1112;Ludvik Svoboda;T4101;5;1945;2999;small_unit_tactics;decentralized_execution;combined_arms_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1113;Bata;T_CZE_Bata;7;1930;2999;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1114;Tatra;T_CZE_Tatra;6;1930;2999;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1115;VLU Prostejov;T_CZE_VLU;4;1930;2999;fighter_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1116;Czechoslovakian Danube Flottilla;T_CZE_RiverFlottila;2;1930;2999;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1117;Slovenských lodeníc Komárno;T_CZE_Shipyard;2;1930;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
