UC2;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
82200;Anshan Zhenzing;T13;4;1918;1999;management;industrial_engineering;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
82201;Fengtian Armory;T1003;4;1910;1999;artillery;general_equipment;chemistry;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
82202;Yingkou Navy Yard;T110;3;1910;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
82203;Dalian Maritime University;T82203;4;1910;1999;chemistry;mathematics;management;industrial_engineering;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
82204;South Manchurian Railway;T6400;4;1910;1999;industrial_engineering;general_equipment;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
82205;Zhang Zuoxiang;T82205;4;1910;1949;large_unit_tactics;infantry_focus;centralized_execution;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
82206;Zhang Xueliang;T82206;4;1920;1999;piloting;bomber tactics;aircraft_testing;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
82207;Shen Hongli;T82207;3;1910;1969;small_taskforce_tactics;naval_training;seamanship;decentralized_execution;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
82208;Zhang Zuolin;T82208;4;1910;1928;large_unit_tactics;combined_arms_focus;centralized_execution;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
82209;Ma Zhanshan;T82209;5;1928;1970;small_unit_tactics;infantry_focus;individual_courage;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
82210;Aviation Office;T6401;3;1920;1999;aeronautics;electronics;artillery;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
