AFG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7600;Khurd Zabitan Staff College;T7600;2;1928;2004;large_unit_tactics;decentralized_execution;training;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7601;Kabul University;T_afg_kabuluniversity;1;1932;2999;management;chemistry;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7602;Afghan Air Force;T_AFG_AfghanAirforce;1;1924;1979;aircraft_testing;piloting;aeronautics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7603;Afghan National Army;T_AFG_NatlArmy;1;1910;1989;general_equipment;mechanics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7604;Kabul Polytechnic;T_AFG_KPU;2;1963;2999;mechanics;mathematics;industrial_engineering;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7605;Ariana Afghan Airlines;T_AFG_ArianaAfghanAirlines;3;1955;2999;aeronautics;chemistry;electronics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7606;Bashiri Company Limited;T_AFG_Bashiri;3;1965;2999;mechanics;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7607;Kabul Felez International;T_AFG_Kabul_Felez;4;1968;2999;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7608;Bagram Air Base;T_AFG_Bagram;4;1976;2999;aeronautics;piloting;electronics;technical_efficiency;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7609;Roshan Telecom;T_AFG_Roshan;4;2003;2999;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7610;National Military Academy;Twarc;5;2005;2999;small_unit_tactics;large_unit_tactics;decentralized_execution;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7611;Afghan Air Force;T_AFG_AFToday;4;1980;2999;aircraft_testing;piloting;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7612;Afghan National Army;T_AFG_NatlArmy;4;1990;2999;general_equipment;mechanics;artillery;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7613;ISAF;T_AFG_ISAF;6;2001;2999;general_equipment;mechanics;artillery;electronics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
