U42;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
94200;Ministry of Industry;Tind;7;1910;2999;management;industrial_engineering;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
94201;State Armory;Tarm;7;1910;2999;chemistry;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
94202;Automotive Industry;Tauto;7;1910;2999;mechanics;industrial_engineering;technical_efficiency;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
94203;Army War College;Twarc;7;1910;2999;centralized_execution;decentralized_execution;large_unit_tactics;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
94204;Naval War College;Tnwc;7;1910;2999;seamanship;small_taskforce_tactics;large_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
94205;Air Force Academy;Tfsc;7;1910;2999;bomber_tactics;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
94206;State Naval Shipyard;Tnav;7;1910;2999;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
94207;State Aviation Industries;Tsav;8;1910;2999;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
94208;State University System;Tsus;5;1930;2999;chemistry;mathematics;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
94209;State Railways;Tsrs;5;1910;2999;mechanics;management;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
94210;Institute of Technology;Tsri;5;1930;2999;chemistry;mathematics;rocketry;nuclear_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
94211;Aerospace Industry;Tasi;7;1946;2999;aeronautics;chemistry;electronics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
94212;Union 76;Toil;8;1999;2999;management;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
94213;Los Alamos;Taec;7;1941;2999;nuclear_physics;nuclear_engineering;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
94214;Area 51;T_area51;7;1948;2999;aeronautics;electronics;rocketry;aircraft_testing;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
