FIN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1300;Valtion Lentokonetehdas;T_FIN_valtionlentokonetehdas;5;1930;1945;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1301;Crichton-Vulcan;T1301;5;1930;1945;naval_engineering;technical_efficiency;industrial_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1302;Kymmene;T1302;5;1930;1996;chemistry;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1303;Tikkakoski;T1303;5;1930;1953;general_equipment;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1304;Valmet;T1304;5;1946;1999;aeronautics;technical_efficiency;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1305;Carl Mannerheim;T1305;7;1930;1946;infantry_focus;individual_courage;small_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1306;Richard Lorentz;T1306;6;1930;1950;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1307;Vilho Nenonen;T1307;6;1937;1947;artillery;training;electronics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1308;K. Lennart Oesch;T1308;6;1930;1945;combined_arms_focus;centralized_execution;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1309;Väinö Valve;T1309;4;1930;1945;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1310;Artturi Virtanen;T1310;6;1930;1948;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1311;Sisu;T_FIN_SISU;4;1930;2999;mechanics;technical_efficiency;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1312;Valo Nihtilä;T_FIN_Valo_Nihtila;6;1930;1945;infantry_focus;individual_courage;small_unit_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1313;Tampella;T_FIN_Tampella;5;1930;1991;artillery;general_equipment;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1314;Valtion Tykkitehdas;T_FIN_Valtion_Tykkitehdas;3;1930;1946;artillery;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1315;Reino Hallamaa;T_FIN_Reino_Hallamaa;4;1930;1945;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1316;Helsingin Yliopisto;T_FIN_HelsinginYliopisto;4;1930;1955;mathematics;chemistry;nuclear_physics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1317;Rauma-Repola;T_FIN_RaumaRepola;6;1953;1999;naval_engineering;electronics;technical_efficiency;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1318;Wärtsilä;T_FIN_Wartsila;6;1946;2999;mechanics;electronics;naval_engineering;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1319;MPKK;T_FIN_MPKK;5;1946;2999;infantry_focus;small_unit_tactics;centralized_execution;training;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1320;Hollming;T_FIN_Hollming_1;5;1946;1977;naval_engineering;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1321;Hollming Works;T_FIN_Hollming_Works;7;1978;2999;mechanics;electronics;naval_engineering;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1322;Outokumpu;T_FIN_Outokumpu;7;1930;2007;mechanics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1323;Patria;T_FIN_PATRIA;6;1997;2999;artillery;mechanics;electronics;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1324;VTT;T_FIN_VTT;7;1942;2999;electronics;chemistry;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1325;MATINE;T_AEC;5;1962;2999;chemistry;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1326;Fortrum Oyj;T_FIN_Fortrum;7;1970;2999;nuclear_engineering;mathematics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1327;Otaniemi;T_FIN_Otaniemi;5;1956;2999;mechanics;electronics;chemistry;rocketry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1328;SAKO;T_FIN_Sako;5;1942;1999;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1329;Metso;T_FIN_Metso;7;1999;2999;mechanics;electronics;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1330;Nokia;T_FIN_Nokia;8;1962;2999;mechanics;electronics;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1331;Vaisala;T_FIN_Vaisala;7;1930;2999;mechanics;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1332;Insta Defsec;T_FIN_Insta;7;1980;2999;electronics;training;management;centralized_execution;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1333;Neste;T_FIN_Neste;5;1948;2999;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1334;Ilmasotakoulu;T_FIN_Ilma;5;1942;2999;centralized_execution;piloting;aircraft_testing;fighter_tactics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1335;Merisotakoulu;T_FIN_Meri;4;1930;2999;decentralized_execution;seamanship;small_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1336;Strömberg;T_FIN_Stromberg;7;1930;1988;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1337;PvTTK;T_FIN_PvTTK;5;1999;2999;chemistry;management;electronics;mathematics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1338;Viestikoelaitos;T_FIN_Viesti;5;1960;2999;electronics;training;mathematics;management;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1339;Outotec;T_FIN_Outotec;8;2008;2999;mechanics;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
