SCA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
32000;Absalon;T200;2;1930;2999;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32001;Arne Beurling;T3200;6;1930;1954;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32002;Atlas A/S;T201;2;1930;2999;aeronautics;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32003;Bofors AB;T3201;6;1930;2005;artillery;chemistry;mechanics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32004;Burmeister & Wain;T202;5;1930;2999;aeronautics;naval_engineering;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32005;F.L. Smidt;T204;5;1930;2999;electronics;industrial_engineering;management;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32006;Götaverken;T3202;4;1930;1989;electronics;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32007;HF Vaerkstader;T205;2;1930;2999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32008;Marinens Hovedverft;T_NOR_Marinens_Hovedverft;3;1930;1987;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32009;Husqvarna;T3203;4;1930;2999;general_equipment;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32010;KaMeVe;T3205;4;1930;1970;mechanics;general_equipment;industrial_engineering;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32011;Karlskrona Naval Yard;T3204;5;1930;1970;naval_engineering;naval_artillery;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32012;Kjeller Flyfabrikk;T_NOR_Kjeller_Flyfabrikk;2;1930;1972;aeronautics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32013;Kongsberg Vaapenfabrikk;T_NOR_KongsbergVaapenfabrikk;3;1930;1970;artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32014;Kværner;T_NOR_Kvaerner;4;1930;2005;industrial_engineering;management;technical_efficiency;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32015;Landsverk AB;T3206;5;1930;1992;artillery;general_equipment;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32016;LM Ericsson;T3207;6;1930;2001;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32018;Odd Hassel;T2508;4;1930;1964;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32019;Raufoss Ammunisjonsfabrikk;T2504;4;1930;1959;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32020;Riffelsyndikatet A/S;T206;3;1930;2999;mechanics;artillery;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32021;SAAB;T_SWE_SAAB;6;1930;2999;aeronautics;electronics;mechanics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32022;Sadolin & Holmblad A/S;T207;2;1930;2999;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32023;Scania-Vabis;T3209;5;1930;2999;industrial_engineering;management;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32024;The Svedberg;T3213;5;1930;1971;management;mathematics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32025;Vølund;T208;3;1930;1987;mechanics;naval_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32026;Volvo;T3210;5;1930;2999;industrial_engineering;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32028;Helge Jung;T3212;4;1944;1951;combined_arms_focus;decentralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32029;Den Kongelige Norske Marine;T_NOR_NorskeMarine;4;1930;2999;centralized_execution;naval_engineering;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32030;Bengt Nordenskiöld;T3211;4;1930;1954;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
