GEO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
21000;Batumi Naval Academy;T_GEO_Batumi_Naval_Academy;2;1930;2999;naval_artillery;small_taskforce_tactics;submarine_tactics;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21001;Georgian Air Force;T_GEO_Georgian_Air_Force;2;1930;2999;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21002;Giorgi Kvinitadze;T_GEO_Giorgi_Kvinitadze;3;1930;1945;centralized_execution;individual_courage;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21003;KAMP-K'ut'aisis Saavtomobilo K'arkhana;T_GEO_KAMP;4;1930;2999;technical_efficiency;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21004;Madneuli Mining;T_GEO_Madneuli;3;1930;2999;management;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21005;Poti Shipyard;T_GEO_Poti_Shipyard;2;1930;2999;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21006;Rustavi Metal Works;T_GEO_Rustavi_Metal_Works;4;1941;2999;industrial_engineering;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21007;Shalva Maglakelidze;T_GEO_Shalva_Maglakelidze;3;1930;2999;centralized_execution;individual_courage;small_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21008;Tbilaviamsheni - Tbilisi Aerospace;T11100;5;1930;2999;aeronautics;rocketry;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21009;Tbilisi Military Academy;T_GEO_Military_Academy;3;1930;2999;large_unit_tactics;centralized_execution;infantry_focus;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21010;Tbilisi State University;T_GEO_Georgian_State_Univ;2;1930;2999;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21011;Valerian Tevzadze;T_GEO_Valerian_Tevzadze;3;1930;2999;decentralized_execution;infantry_focus;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x


