NOR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2500;Marinens Hovedverft;T_NOR_Marinens_Hovedverft;4;1930;1987;naval_artillery;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2501;Kjeller Flyfabrikk;T_NOR_Kjeller_Flyfabrikk;3;1930;1972;aeronautics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2502;Kongsberg Vaapenfabrikk;T_NOR_KongsbergVaapenfabrikk;4;1930;1970;artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2503;Kværner;T_NOR_Kvaerner;5;1930;2005;industrial_engineering;management;technical_efficiency;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2504;Raufoss Ammunisjonsfabrikk;T2504;5;1930;1959;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2505;Carl Gustav Fleischer;T_NOR_Carl_Gustav_Fleischer;4;1930;1942;decentralized_execution;infantry_focus;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2506;Hærens flyvevæsen;T2506;4;1930;2999;aircraft_testing;bomber_tactics;combined_arms_focus;piloting;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2507;Den Kongelige Norske Marine;T_NOR_NorskeMarine;5;1930;2999;centralized_execution;naval_engineering;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2508;Odd Hassel;T2508;5;1930;1964;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2509;Akers Mekaniske Verksted;T_NOR_Akers;5;1930;1982;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2510;Borregaard;T_NOR_Borregaard;3;1930;1944;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2511;Elektrisk Bureau;T_NOR_ElektriskBureau;3;1930;1992;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2512;Elektrokemisk;T_NOR_Elkem;3;1930;2999;chemistry;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2513;Framnæs Mekaniske Værksted;T_NOR_Famnaes;4;1930;1986;electronics;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2514;Forsvarets Forskningsinstitutt;T_NOR_FFI;5;1946;2999;chemistry;combined_arms_focus;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
