HUN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1600;Budapesti Vegyimüvek;T1600;5;1930;2999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1601;FÉG;T1601;4;1930;2999;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1602;Ganz;T1602;3;1930;2999;mechanics;artillery;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1603;Richter Gyógyszergyár;T_HUN_Richter;5;1930;2999;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1604;Manfred Weiss Müvek;T1604;5;1930;2999;aeronautics;industrial_engineering;technical_efficiency;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1605;MÁVAG;T1602;5;1930;2999;aeronautics;technical_efficiency;electronics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1606;MOLAJ;T1606;6;1944;2999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1607;Szombathelyi Ferenc;T1607;4;1938;2999;small_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1608;Debrödy György;T1608;5;1940;2999;fighter_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1609;Littay András;T1609;3;1930;1941;bomber_tactics;piloting;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1610;József Nádor Müszaki Egyetem;T_HUN_BME;4;1930;2999;nuclear_physics;nuclear_engineering;mathematics;chemistry;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1611;Vörös János;T1611;4;1938;2999;combined_arms_focus;centralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1612;Csatay Lajos;T1612;4;1938;1944;combined_arms_focus;decentralized_execution;large_unit_tactics;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1613;Horthy Miklós;T1613;5;1930;2999;seamanship;naval_training;centralized_execution;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1614;Bay Zoltán;T1614;5;1930;2999;mathematics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1615;Werth Henrik;T_HUN_Werth_Henrik;3;1930;1942;centralized_execution;large_unit_tactics;mechanics;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1616;Ganz Danubius Hajógyár;T_HUN_GanzDanubiaNavalYard;3;1930;2999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1617;Fejér Lipót;T_HUN_Fejer_Lipot;5;1930;1959;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1618;Ikarus;T_HUN_Ikarus;4;1930;2999;management;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1619;Rába;T_HUN_Raba;4;1930;2999;aeronautics;industrial_engineering;mechanics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1620;Hardy Kálmán;T_HUN_Hardy_Kalman;3;1942;1990;centralized_execution;small_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1621;Rényi Alfréd;T_HUN_Renyi_Alfred;5;1949;2999;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1622;Pál Lénárd;T_HUN_Pal_Lenard;5;1955;2999;mathematics;electronics;mechanics;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x


