SCH;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3300;Brown-Bovery;T3300;5;1930;2999;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3301;Dornier Werke Schweiz;T3301;6;1930;2999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3302;EKW;T3302;5;1930;2999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3303;Etienne Primault;T3310;6;1942;1960;fighter_tactics;aircraft_testing;piloting;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3304;Fritz Rihner;T3311;5;1930;1960;bomber_tactics;combined_arms_focus;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3305;Furrer;T3303;5;1930;2999;mechanics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3306;Henri Guisan;T3312;5;1930;1954;training;decentralized_execution;combined_arms_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3307;La Roche;T3304;5;1930;2999;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3308;Leopold Ruzicka;T_SCH_Leopold_Ruzicka;6;1930;1957;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3309;Maschinenfabrik Oerlikon;T3305;6;1930;2999;mechanics;artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3310;Oederlin Metallwaren;T3306;5;1930;2999;mechanics;industrial_engineering;general_equipment;artillery;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3311;Paul Chaudet;T3314;4;1955;1967;piloting;decentralized_execution;combined_arms_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3312;Paul Scherrer;T3315;6;1930;1969;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3313;Sandoz;T3307;6;1930;2999;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3314;SIG;T3308;6;1930;2999;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3315;Sulzer;T3309;7;1930;2999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3317;Wolfgang Pauli;T609;8;1937;1941;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
