U69;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
96900;Ministry of Industry;Tind;3;1910;2999;management;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96901;Ministry of Defence;Tarm;4;1910;2999;chemistry;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96902;Souphanouvong;T_U69_Souphanouvong;4;1910;1990;infantry_focus;centralized_execution;large_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96903;Pathet Lao;T_U69_Pathet_Lao;4;1950;2999;infantry_focus;decentralized_execution;small_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96904;Lao PLAAF;Tfsc;3;1910;2999;bomber_tactics;fighter_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96905;Lao Aviation;Tsav;3;1950;2999;aeronautics;chemistry;electronics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96906;Telephone System;Tele;2;1910;2999;electronics;mathematics;chemistry;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96907;Ministry of Education;Tsus;2;1910;1995;chemistry;mathematics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96908;University of Laos;T_U69_ULaos;4;1996;2999;chemistry;mathematics;management;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96909;Electricite du Laos;Telek;3;1959;2999;management;industrial_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
