U68;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
96800;Continental Oil Company;Toil;7;1910;2999;management;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96801;Deseret Telecom;Tele;3;1910;2999;electronics;mathematics;chemistry;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96802;Santa Fe Railroad;Tsrs;4;1910;2999;mechanics;management;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96803;Los Alamos;Taec;7;1941;2999;nuclear_physics;nuclear_engineering;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96804;Area 51;T_area51;7;1948;2999;aeronautics;electronics;rocketry;aircraft_testing;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96805;Brigham Young University;T_U68_BYU;4;2900;2999;chemistry;electronics;management;industrial_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96806;State Aviation Industries;Tsav;3;1930;1947;aeronautics;chemistry;electronics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96807;Kirtland AFB;Tfsc;5;1941;2999;piloting;fighter_tactics;bomber_tactics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96808;Yuma Proving Ground;Tauto;5;1910;2999;chemistry;artillery;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96809;Fort Huachuca;Twarc;5;1910;2999;infantry_focus;centralized_execution;large_unit_tactics;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96810;University of Arizona;T_U68_UA;4;1910;2999;chemistry;management;mathematics;industrial_engineering;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96811;Deseret Naval Yard;Tnav;3;2900;2999;naval_engineering;naval_artillery;seamanship;technical_efficiency;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96812;Deseret Armory;Tarm;6;1910;2999;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
