ISR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
11600;Hebrew University of Jerusalem;T11600;5;1930;2999;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11601;Israel Aircraft Industries;T11601;7;1930;2999;aeronautics;technical_efficiency;electronics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11602;Israel Military Industries;T11602;7;1930;2999;mechanics;artillery;general_equipment;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11603;Tadiran Electronic Industries;T11603;5;1944;2999;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11604;Armaments Development Authority;T11604;6;1930;2999;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11605;Elbit Systems Ltd.;T11605;6;1944;2999;electronics;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11606;Moshe Dayan;T11606;7;1944;1981;decentralized_execution;small_unit_tactics;combined_arms_focus;centralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11607;IDF Command & Staff college;T11607;6;1930;2999;centralized_execution;large_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11608;INF Operations Research College;T11608;5;1930;2999;naval_training;small_taskforce_tactics;centralized_execution;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11609;IAF Air Directorate;T11609;8;1930;2999;combined_arms_focus;piloting;aircraft_testing;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11610;Pinhas Rutenberg;T_ISR_Pinhas_Rutenberg;4;1930;1940;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11611;Ariel Sharon;T_ISR_Sharon;8;1974;2005;decentralized_execution;small_unit_tactics;combined_arms_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11612;Israeli General Staff;T_ISR_Staff;8;2006;2999;decentralized_execution;small_unit_tactics;combined_arms_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11613;IDF Science Corps;T_ISR_IDF_Science;5;1952;1961;nuclear_physics;nuclear_engineering;chemistry;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11613;Negev Nuclear Research Center;T_ISR_Dimona;7;1962;2999;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11614;Soltam Systems;T_ISR_Soltan;7;1951;2999;artillery;mechanics;training;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11615;Plasan;T_ISR_Plasan;7;1985;2999;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11616;Rafael Systems;T_ISR_Rafael;7;1958;2999;management;electronics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11617;Mossad;T_ISR_Mossad;6;1948;2999;centralized_execution;decentralized_execution;training;individual_courage;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11618;Israel Shipyards;T_ISR_Shipyards;6;1948;2999;naval_engineering;electronics;naval_artillery;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11619;Hatehof;T_ISR_Hatehof;6;1947;2999;industrial_engineering;mechanics;artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11620;Vishay Intertech;T_ISR_Vishay;7;1962;2999;industrial_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
