ITA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1800;Arturo Crocco;T1800;4;1930;1968;rocketry;mathematics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1801;Beretta;T1801;4;1930;2999;training;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1802;Breda;T1802;4;1930;2999;aeronautics;general_equipment;artillery;chemistry;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1803;Bruno de Finetti;T1803;5;1940;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1804;Cantieri Ansaldo;T1804;5;1930;2999;naval_engineering;naval_artillery;electronics;industrial_engineering;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1805;Cantieri Riuniti dell'Adriatico;T1805;5;1930;2999;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1806;Caproni;T1806;4;1930;2999;aeronautics;electronics;chemistry;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1807;Enrico Fermi;T1807;8;1930;1939;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1808;FIAT;T1808;5;1930;2999;mechanics;artillery;management;electronics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1809;Guido Fubini;T1809;4;1930;1939;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1810;Macchi;T1810;6;1930;1955;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1811;Savoia-Marchetti;T1811;4;1930;2999;aeronautics;electronics;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1812;Lancia;T1812;4;1930;2999;mechanics;artillery;general_equipment;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1813;Arturo Riccardi;T1813;4;1940;2999;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1814;Domenico Cavagnari;T1814;4;1930;1942;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1815;Italo Balbo;T1815;5;1930;1960;bomber_tactics;centralized_execution;piloting;fighter_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1816;Giovanni Messe;T1816;5;1943;1968;small_unit_tactics;decentralized_execution;combined_arms_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1817;Pietro Badoglio;T1817;4;1930;1945;training;centralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1818;Rino Fougier;T1818;5;1941;1963;bomber_tactics;centralized_execution;piloting;fighter_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1819;Rodolfo Graziani;T1819;3;1930;1955;training;combined_arms_focus;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1820;Societá Montecatini;T1820;5;1930;2999;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1821;Giulio Natta;T1821;6;1930;2999;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1822;SIFAR;T_ITA_SIFAR;3;1949;1975;centralized_execution;decentralized_execution;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1823;INFN;T_ITA_INFN;5;1952;2999;nuclear_physics;nuclear_engineering;mathematics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1824;Aermacchi;T1810;6;1956;2999;aeronautics;electronics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1825;CIRA;T_ITA_CIRA;6;1959;2999;electronics;mathematics;management;rocketry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1826;Agip;T_ITA_Agip;4;1930;1953;technical_efficiency;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1827;Alfredo Guzzoni;T_ITA_Alfredo_Guzzoni;3;1930;1965;training;centralized_execution;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1828;Carlo Fecia di Cossato;T7705;4;1930;2999;submarine_tactics;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1829;Edoardo Amaldi;T_ITA_Edoardo_Amaldi;4;1940;1954;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1830;ENI;T_ITA_ENI;6;1953;2999;technical_efficiency;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1831;Olivetti;T_ITA_Olivetti;6;1946;2999;mechanics;electronics;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1832;Reggiane;T_ITA_Reggiane;5;1930;2999;aeronautics;electronics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1833;Stato Maggiore Aeronautica;T_ITA_Stato_Maggiore_Aeronautica;5;1960;2999;bomber_tactics;centralized_execution;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1834;Terni;T_ITA_Terni;5;1930;2999;general_equipment;mechanics;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1835;Teseo Tesei;T_ITA_Teseo_Tesei;5;1930;2999;decentralized_execution;naval_training;submarine_tactics;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1836;Ugo Cavallero;T_ITA_Ugo_Cavallero;4;1937;1945;management;centralized_execution;large_unit_tactics;mathematics;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1837;Ugo Tiberio;T_ITA_Ugo_Tiberio;5;1935;2999;management;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1838;Università La Sapienza;T_ITA_Università_La_Sapienza;4;1930;2999;mathematics;electronics;chemistry;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
