Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;BMP_Name;Start Year;End Year;x
阿布特 ;31293;HUN;1941;1990;1990;1990;3;4;0;0;0;5;0;Abt_Otto_hun;1941;1960;x
阿格特莱基 ;31250;HUN;1940;1942;1990;1990;2;4;0;0;0;5;0;Aggteleky_Bela_hun;1940;1960;x
阿卡伊 ;31289;HUN;1940;1990;1990;1990;3;4;0;0;0;5;0;Akay_Laszlo_hun;1940;1960;x
阿尔焦-帕普 ;31101;HUN;1938;1942;1990;1990;2;6;4;2;0;3;0;Algya-Pap_Zoltan_hun;1938;1946;x
艾玛殊;31127;HUN;1945;1946;1990;1990;2;5;0;0;0;5;0;Almasy_Pal_hun;1945;1985;x
安德拉什 ;31191;HUN;1930;1990;1990;1990;3;5;0;0;0;5;2;Andras_Sandor_hun;1930;1985;x
安卡-阿内辛;31290;HUN;1941;1990;1990;1990;3;4;0;0;0;5;0;MajorGeneralHungary;1941;1955;x
阿尔沃伊 ;31287;HUN;1942;1990;1990;1990;3;4;0;0;0;5;0;Arvay_Viktor_Gyozo_hun;1942;1960;x
阿兹塔罗西;31291;HUN;1941;1990;1990;1990;3;6;0;1;0;5;0;Asztalossy_Aladar_hun;1941;1956;x
贝兹;31294;HUN;1942;1990;1990;1990;3;6;0;1;0;5;0;MajorGeneralHungary;1942;1958;x
鲍伊诺奇 ;31103;HUN;1930;1940;1942;1990;1;6;64;2;0;5;0;Bajnoczy_Jozsef_hun;1930;1960;x
巴卡伊 ;31104;HUN;1940;1943;1990;1990;3;6;0;2;0;2;0;Bakay_Szilard_hun;1930;1960;x
班福尔维 ;31456;HUN;1940;1943;1990;1990;2;5;0;0;0;5;2;Banfalvy_Istvan_hun;1940;1975;x
邦高 ;31213;HUN;1930;1936;1990;1990;2;6;544;2;0;5;0;Bangha_Imre_hun;1930;1956;x
班达伊;31288;HUN;1940;1990;1990;1990;3;5;0;1;0;5;0;MajorGeneralHungary;1940;1960;x
鲍劳巴什 ;31218;HUN;1935;1938;1990;1990;2;5;0;1;0;5;0;Barabas_Emil_hun;1930;1948;x
鲍采耶法卢西;31292;HUN;1941;1990;1990;1990;3;4;0;0;0;5;0;Barczaujfalusy_Egon_hun;1941;1960;x
鲍尔多齐 ;31280;HUN;1943;1944;1990;1990;2;6;0;1;0;5;0;Bardoczy_Ferenc_hun;1943;1960;x
巴萨;31106;HUN;1930;1930;1930;1990;1;6;544;2;0;5;0;Bartha_Karoly_hun;1930;1960;x
巴塔;31105;HUN;1950;1951;1990;1990;2;5;0;0;0;4;0;Bata_Istvan_hun;1950;1990;x
巴特基;31419;HUN;1944;1990;1990;1990;3;4;2;0;0;5;0;Batky_Jozsef_hun;1944;1960;x
鲍曼 ;31107;HUN;1944;1990;1990;1990;3;4;0;0;0;5;0;Baumann_Istvan_hun;1944;1960;x
鲍森;31206;HUN;1933;1990;1990;1990;2;5;0;0;0;5;1;MajorGeneralHungary;1933;1960;x
贝尔迪 ;31108;HUN;1937;1941;1944;1990;2;5;0;1;0;5;0;Beldy_Alajos_hun;1937;1946;x
